example_id,o_tract_fips,d_tract_fips,path_order,first_raw_position,path_occurrences,screenline_id,tract_a,tract_b,screenline_color,shared_boundary_m,is_validation_candidate,is_in_cached_validation_path,mapped_mdot_station_ids,mapped_fhwa_station_ids
53,24005491401,24005491202,1,1,1,24005491401__24005491500,24005491401,24005491500,#1f77b4,548.5493058050043,True,True,S2012030208,
53,24005491401,24005491202,2,2,1,24005491202__24005491500,24005491202,24005491500,#ff7f0e,1222.440628621671,True,True,B030062;S2017030305,
54,24005491900,24510270501,1,1,1,24005491900__24005492101,24005491900,24005492101,#1f77b4,1197.6484447509147,True,True,B1099;S2004030028;S2004030030;S2010030023,
54,24005491900,24510270501,2,3,2,24005440100__24510270501,24005440100,24510270501,#ff7f0e,1296.4193480039735,True,True,B1050;S2012240147;S2012240148,
55,24027602306,24027602100,1,1,1,24027602202__24027602306,24027602202,24027602306,#1f77b4,1717.639242477188,True,True,B2519;S1999130061,
55,24027602306,24027602100,2,2,1,24027602100__24027602202,24027602100,24027602202,#ff7f0e,2623.1706047537477,True,True,B2525;S1998130108,
56,24005404501,24005404800,1,1,1,24005404404__24005404501,24005404404,24005404501,#1f77b4,2855.9028675378536,True,True,B1029;S2008030091;S2011030954,
56,24005404501,24005404800,2,2,1,24005404404__24005404800,24005404404,24005404800,#ff7f0e,2573.5457333326285,True,True,B1173;S2007030064,
57,24031702402,24031702800,1,1,1,24031702402__24031702500,24031702402,24031702500,#1f77b4,1489.4671468407425,True,True,B2896;B2962;S2012150761;S2012150763;S2012150981,
57,24031702402,24031702800,2,2,1,24031702500__24031702800,24031702500,24031702800,#ff7f0e,599.6529827507131,True,True,S2012150758,
58,24033802407,24033802002,1,1,1,24033802406__24033802407,24033802406,24033802407,#1f77b4,1079.951185914224,True,True,B3331,
58,24033802407,24033802002,2,2,1,24033802002__24033802406,24033802002,24033802406,#ff7f0e,2080.8711547521602,True,True,B3287;S2012161163,
59,24005404403,24005403702,1,1,1,24005404102__24005404403,24005404102,24005404403,#1f77b4,1283.976226041637,True,True,S2011030960;S2011030961;S2012031537,
59,24005404403,24005403702,2,2,1,24005403702__24005404102,24005403702,24005404102,#ff7f0e,1089.148718956735,True,True,B1027;B1028;S2009030078;S2010030151;S2010030152,
60,24025301702,24025302902,1,1,1,24025301702__24025302400,24025301702,24025302400,#1f77b4,9097.997355962048,True,True,B2343;S2011120414,
60,24025301702,24025302902,2,2,1,24025302400__24025302902,24025302400,24025302902,#ff7f0e,2554.0337282677,True,True,S2000120029;S2000120031;S2000120032;S2015120121,
