example_id,o_tract_fips,d_tract_fips,path_order,screenline_id,screenline_color,station_id,is_fhwa_station,boundary_distance_m,boundary_centroid_distance_ratio,station_x,station_y
14,24005490100,24005491201,2,24005490302__24005491201,#ff7f0e,S2007030023,False,79.12846757648855,0.12574848674338385,436955.1677823387,192715.85682312414
15,24033801802,24033802001,1,24033801802__24033801907,#1f77b4,B3132,False,0.9025222873291838,0.0012952139461935143,404996.06720971304,129627.6540930537
15,24033801802,24033802001,1,24033801802__24033801907,#1f77b4,S2010160091,False,91.1352839880943,0.13410488300959197,405195.4867960776,129537.2598117191
15,24033801802,24033802001,1,24033801802__24033801907,#1f77b4,S2010160093,False,33.92708207748377,0.061169224353589714,405156.4230279314,129288.1227602412
15,24033801802,24033802001,1,24033801802__24033801907,#1f77b4,S2010160094,False,32.52171444469251,0.05820529827987818,405133.2859952817,129249.0984523847
15,24033801802,24033802001,1,24033801802__24033801907,#1f77b4,S2010160095,False,23.694266340819063,0.042190612135211025,405136.29189952125,129262.95642766726
15,24033801802,24033802001,1,24033801802__24033801907,#1f77b4,S2010160096,False,32.18690759016872,0.0581849996851799,405149.2244415653,129270.65887281412
15,24033801802,24033802001,1,24033801802__24033801907,#1f77b4,S2010160097,False,32.609625647744664,0.04470512755106433,405029.38671760843,129638.02302247031
15,24033801802,24033802001,1,24033801802__24033801907,#1f77b4,S2010160098,False,98.75997950367562,0.14137214645935353,405187.46015135595,129555.50992342106
15,24033801802,24033802001,2,24033801907__24033801908,#ff7f0e,B3272,False,12.975403750007851,0.021831481913712134,405091.59756457666,130185.0389335574
15,24033801802,24033802001,2,24033801907__24033801908,#ff7f0e,S2010160143,False,61.14307223852957,0.05978009824114815,405898.02193913335,130629.45860066026
15,24033801802,24033802001,2,24033801907__24033801908,#ff7f0e,S2010160148,False,72.74694678285145,0.07968051470486989,405786.3524120253,130620.74623889891
16,24005403402,24005403601,1,24005403402__24005403500,#1f77b4,B0996,False,2.6344507389158767,0.003938722797700432,424786.4399124049,189640.90628730517
16,24005403402,24005403601,1,24005403402__24005403500,#1f77b4,S2010030035,False,72.88301770121589,0.1003678573110791,424346.19024422346,190157.5877400308
16,24005403402,24005403601,2,24005403500__24005403601,#ff7f0e,S2009030047,False,12.72651673002994,0.008661899791866242,427375.77024839947,189361.57964122598
16,24005403402,24005403601,2,24005403500__24005403601,#ff7f0e,S2012030221,False,55.17665094573224,0.03903787449990103,427317.4301224561,189368.3263975061
17,24510250103,24005430900,1,24005430400__24510250103,#1f77b4,S2008030084,False,69.07641425850758,0.041660921544521376,428979.2382641062,176570.32382535405
17,24510250103,24005430900,2,24005430400__24005430900,#ff7f0e,B0910,False,78.29135652935665,0.12959779549996076,426989.42617021553,177186.60096232843
17,24510250103,24005430900,2,24005430400__24005430900,#ff7f0e,S2012030196,False,99.55223915368092,0.19031640418767615,426906.83430244063,177093.2899725645
18,24031702402,24031702601,1,24031702402__24031702500,#1f77b4,B2896,False,124.82318872446409,0.231346532783092,397833.3177461697,146629.64474561933
18,24031702402,24031702601,1,24031702402__24031702500,#1f77b4,B2962,False,232.79513976521426,0.20677535273388828,398060.1452271621,146088.7164764737
18,24031702402,24031702601,1,24031702402__24031702500,#1f77b4,S2012150761,False,197.22149310005332,0.2579985214122292,397965.4681674167,147830.8681275905
18,24031702402,24031702601,1,24031702402__24031702500,#1f77b4,S2012150763,False,112.38023212148072,0.3467709701827043,397787.71371070057,147427.8682791504
18,24031702402,24031702601,1,24031702402__24031702500,#1f77b4,S2012150981,False,164.44450598613113,0.15451281161541908,398093.41854329756,146169.88796351792
18,24031702402,24031702601,2,24031702500__24031702601,#ff7f0e,B150049,False,97.8475143033865,0.31574434979255106,397339.1042522729,147386.17957590526
19,24510270502,24005440100,1,24510270501__24510270502,#1f77b4,B240102,False,14.830068245699657,0.018951188268946085,438789.64211256313,188349.29026956626
19,24510270502,24005440100,1,24510270501__24510270502,#1f77b4,B240199,False,0.6577182749151044,0.0007720645547565951,440132.860668921,187824.27081612402
