scenario,activity_pair,vehicle_trips,share
real,15 -> 7,93.77239441,0.00043013991648954204
real,8 -> 11,93.64362316,0.0004295492346042201
real,16 -> 15,92.24042328,0.0004231126678193053
real,10 -> 12,92.13150323,0.0004226130446465601
real,9 -> 11,91.14406472,0.00041808360161695284
real,12 -> 16,90.58224799999999,0.0004155065127141503
real,4 -> 13,90.32989646,0.0004143489602060315
real,11 -> 10,89.28504688,0.0004095561689595982
real,3 -> 7,85.75413623,0.0003933596580175563
real,12 -> 8,84.77541072,0.0003888701820711824
real,3 -> 8,81.72385808,0.00037487251670290783
real,16 -> 14,81.19898087,0.0003724648716737159
real,10 -> 9,80.35808363,0.00036860762273744133
real,7 -> 14,78.75846323,0.00036127006257807756
real,3 -> 16,77.54764235,0.0003557159504592187
real,13 -> 14,76.40463986,0.0003504729255936458
real,2 -> 15,75.97613782,0.00034850735957753963
real,14 -> 16,75.83613245,0.0003478651460717547
real,6 -> 3,75.37914298999999,0.00034576890645456477
real,12 -> 11,71.79337315,0.00032932075293099606
real,5 -> 15,70.03270561000001,0.00032124445933322184
real,10 -> 13,69.73814076,0.0003198932716966369
real,17 -> 1,69.63675896,0.00031942822695441893
real,12 -> 18,66.09087637,0.0003031630387746697
real,4 -> 16,65.46403979,0.0003002876996530631
real,10 -> 14,63.94471929,0.00029331848022443827
real,9 -> 18,62.39589438,0.00028621392219714233
real,13 -> 9,61.02284332,0.0002799156499604115
real,3 -> 11,60.82502388,0.0002790082396512584
real,1 -> 17,60.7743046,0.00027877558709929066
real,15 -> 5,59.81263397,0.00027436434296842165
real,8 -> 13,59.59876602,0.0002733833171267377
real,7 -> 4,59.32059979,0.00027210735099944376
real,13 -> 13,58.83335518,0.0002698723290916206
real,4 -> 6,58.31978891,0.0002675165680611004
real,4 -> 10,56.35385954,0.00025849872543954146
real,12 -> 10,56.0667198,0.00025718159725313295
real,14 -> 6,56.04984353,0.00025710418473301835
real,13 -> 11,55.30177201,0.00025367273325771413
real,18 -> 9,53.8677388,0.0002470947320338609
real,11 -> 18,53.65105541,0.00024610079159045325
real,6 -> 13,53.47836536,0.0002453086513859406
real,7 -> 15,52.0829706,0.0002389078871811574
real,7 -> 12,51.64282163,0.00023688889595895428
real,18 -> 13,51.01494118,0.00023400876853949687
real,6 -> 14,50.02023674,0.00022944599622846213
real,9 -> 13,49.85711664,0.00022869775399114665
real,11 -> 12,49.82008839,0.00022852790306153177
real,14 -> 8,49.37389483,0.00022648118492189017
real,6 -> 9,48.916022139999995,0.00022438089387271078
real,6 -> 12,48.63254489,0.0002230805657600623
real,4 -> 11,46.48210379,0.000213216356138568
real,8 -> 9,46.423637129999996,0.00021294816586350833
real,8 -> 12,45.91926888,0.00021063459673370226
real,18 -> 4,45.40067344,0.00020825576658164134
real,9 -> 12,43.01513443,0.00019731314794638
real,15 -> 16,41.47409748,0.000190244313785208
real,12 -> 3,39.48596801,0.00018112463789789803
real,12 -> 6,39.08504206,0.0001792855651544052
real,7 -> 6,38.32140808,0.0001757827276887262
real,13 -> 3,38.2724021,0.00017555793415244812
real,14 -> 12,38.09319225,0.00017473588721210803
real,8 -> 3,37.77065015,0.00017325636615656416
real,4 -> 4,35.473628829999996,0.0001627197837756184
real,13 -> 12,35.2205517,0.0001615589029401814
real,9 -> 15,33.59084094,0.00015408331639235883
real,11 -> 3,33.1125862,0.00015188953158800717
real,3 -> 18,31.54003171,0.00014467612447326126
real,6 -> 4,30.49091103,0.00013986374142042402
real,11 -> 13,29.48837692,0.00013526505391685175
real,11 -> 4,29.37135986,0.00013472828924604492
real,4 -> 8,29.3006423,0.00013440390331621844
real,14 -> 2,29.070571559999998,0.00013334855424986533
real,8 -> 14,28.37496384,0.0001301577575503372
real,14 -> 11,28.17719691,0.00012925058810788216
real,4 -> 18,28.00415371,0.00012845682798193677
real,12 -> 13,26.858882,0.00012320339406039982
real,9 -> 14,26.54265747,0.00012175285209885599
real,8 -> 8,25.350455529999998,0.00011628414623785277
real,4 -> 14,25.33260145,0.00011620224844129424
real,15 -> 9,25.31135073,0.00011610477004177534
real,15 -> 8,25.19999706,0.00011559398369984637
real,12 -> 12,24.57371324,0.00011272118012339399
real,14 -> 3,24.461710189999998,0.00011220741503424706
