LOCATION_ID,COUNTY_DESC,ROADNAME,ID_PREFIX,ID_RTE_NO,ID_MP,BEGIN_SECTION,END_SECTION,STATION_DESC,ROAD_SECTION,RURAL_URBAN,F_SYSTEM,F_SYSTEM_DESC,MAIN_LINE,PEAK_HOUR_DIRECTION,NUM_LANES,COUNTED_FACTORED,K_FACTOR,D_FACTOR,NORTH_EAST_SPLIT,SOUTH_WEST_SPLIT,AADT_2017,AADT_2018,AAWDT_2017,AAWDT_2018,AADT,AAWDT,TRUCK_AADT,LINK,longitude,latitude,station_class,is_mainline,is_ramp,candidate_reason,candidate_for_tract_screenline_seed
S2012161083,Prince George's,St Barnabas Rd                          ,CO,165.0,0.72,0.0,0.78,St Barnabas Rd - Between John Hanson La & Barrowfield Rd,Livingston Rd To John Hanson La,Urban,5.0,Major Collector,1.0,South,4.0,F,8.05,65.62,49.12,50.88,17165.0,18170.0,18205.0,19260.0,18171.0,19991.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161083,-76.97531969502836,38.80388795408397,S,True,False,pg_dc_spatial,True
B160005,Prince George's,Race Track Rd,CO,49.0,2.33,0.24,3.53,Racetrack Rd-.10 Mi E Of Old Chapel Rd,Md 197 To Md 450,Urban,4.0,Minor Arterial,1.0,East,3.0,F,9.76,63.78,49.14,50.86,10210.0,10121.0,10930.0,10831.0,10122.0,10732.0,102.0,https://maps.roads.maryland.gov/itms_public/?stationid=B160005,-76.74050690695569,38.99692700589242,B,True,False,,False
S2012161101,Prince George's,Cooper La,CO,332.0,0.45,0.0,1.08,Cooper La - .10 Mi South Of Md 450,66th Ave To Old Landover Rd,Urban,5.0,Major Collector,1.0,South,3.0,F,7.63,54.74,49.09,50.91,10075.0,10610.0,10685.0,11250.0,10611.0,11671.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161101,-76.90197264015221,38.94094907500291,S,True,False,pg_dc_spatial;pg_montgomery_spatial,True
B2742,Montgomery,Georgia Ave,MD,97.0,7.2,7.0,7.67,Md97-.20 Mi N Of Md185,Md 185 To Bel Pre Rd,Urban,3.0,Principal Arterial Other,1.0,South,6.0,F,7.76,70.85,47.06,52.94,45052.0,45690.0,48212.0,48890.0,45691.0,48431.0,1887.0,https://maps.roads.maryland.gov/itms_public/?stationid=B2742,-77.07912646613063,39.08652865885443,B,True,False,montgomery_dc_route;montgomery_dc_spatial;pg_montgomery_spatial,True
S2004160074,Prince George's,Ramp 2 Fr Md 223 Wb To Ramp 3 (to Md 5),RP,5.0,0.04,0.0,0.07,Exit 7 Ramp 2 Fr Md 223 Wb To Ramp 3 (to Md 5 Nb),Exit 7  Ramp 02 Woodyard Rd To Ramp 3 Fr Md 223 Eb To Md 5 Nb,Urban,2.0,Principal Arterial Other Freeways and Expressways,2.0,North,1.0,F,8.4,100.0,100.0,0.0,4933.0,4894.0,5283.0,5244.0,4895.0,5195.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2004160074,-76.88434158932712,38.76902760092663,S,False,True,pg_dc_route;pg_dc_spatial,False
S2012150917,Montgomery,Grafton St,MU,40.0,0.08,0.0,0.59,Grafton St - .10 Mi East Of Md 355,Wisconsin Ave To Chevy Chase Cir,Urban,5.0,Major Collector,1.0,East,2.0,F,12.16,69.68,69.02,30.98,1245.0,1245.0,1325.0,1325.0,1255.0,1385.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150917,-77.08711989561598,38.96761210661062,S,True,False,montgomery_dc_spatial;pg_montgomery_spatial,True
S2012150675,Montgomery,Emory La,CO,137.0,0.12,0.0,0.39,Emory La - .10 Mile West Of Md 97,Md 97 To Cashell Rd,Urban,6.0,Minor Collector,1.0,West,2.0,F,10.04,58.29,48.52,51.48,7265.0,7340.0,7705.0,7780.0,7341.0,8081.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150675,-77.07448678357085,39.12656668761931,S,True,False,pg_montgomery_spatial,True
B2824,Montgomery,Bradley Blvd,MD,191.0,5.63,5.53,6.07,Md191-.10 Mi N Of Md614,Md 614 To Leland St,Urban,4.0,Minor Arterial,1.0,North,6.0,F,7.53,50.43,48.37,51.63,23591.0,23150.0,25241.0,24770.0,24121.0,24541.0,,https://maps.roads.maryland.gov/itms_public/?stationid=B2824,-77.10484295368911,38.977161247192825,B,True,False,montgomery_dc_route;montgomery_dc_spatial;pg_montgomery_spatial,True
S2011160025,Prince George's,Ramp 19 Fr Ramp 16 To Ramp 1,RP,95.0,0.1,0.0,0.178,Exit 2 Ramp 19 Fr Ramp 16 (fr National Harbor Rd) To Ramp 1 (to Is 95 Wb),Exit 2  Ramp 19 Ramp 16 (fr National Harbor Rd) To Ramp 1 (to Is 95 Wb),Urban,1.0,Interstate,2.0,North,1.0,F,14.42,100.0,100.0,0.0,9060.0,9011.0,9420.0,9371.0,9072.0,9442.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2011160025,-77.01353107175754,38.79323953780154,S,False,True,pg_montgomery_route;pg_dc_spatial,False
B160006,Prince George's,Brightseat Rd,CO,76.0,1.28,0.0,1.35,Brightseat Rd-.20 Mi N Of Md202,Ardwick Ardmore Rd To Md 202/md 202e,Urban,5.0,Major Collector,1.0,South,5.0,F,8.6,50.18,49.63,50.37,15100.0,14961.0,16010.0,15861.0,14962.0,16462.0,392.0,https://maps.roads.maryland.gov/itms_public/?stationid=B160006,-76.86022195061096,38.919279396475375,B,True,False,pg_dc_spatial,True
B2963,Montgomery,No Name,IS,270.0,0.6,0.0,0.995,Is270y-.40 Mi S Of Democracy Blvd,Is 495 To Democracy Blvd,Urban,1.0,Interstate,1.0,North,6.0,F,6.62,52.34,52.07,47.93,130730.0,129951.0,135960.0,135151.0,130862.0,136102.0,8650.0,https://maps.roads.maryland.gov/itms_public/?stationid=B2963,-77.14737005533381,39.0171307264788,B,True,False,montgomery_dc_spatial,True
B160055,Prince George's,Campus Dr,SR,69.0,1.27,0.49,1.37,Campus Dr-.10 Mi W Of Us1,Adelphi Rd To Us 1,Urban,5.0,Major Collector,1.0,East,3.0,F,8.67,63.55,48.85,51.15,12080.0,11971.0,12810.0,12691.0,11972.0,13172.0,,https://maps.roads.maryland.gov/itms_public/?stationid=B160055,-76.93712019941717,38.98841693297759,B,True,False,pg_dc_spatial;pg_montgomery_spatial,True
