matsim_link_id,count_link_id,direction
mdot_aadt_P0066_155_fwd,mdot_aadt_P0066_155,fwd
mdot_aadt_P0066_155_rev,mdot_aadt_P0066_155,rev
mdot_aadt_V2013000095_156_fwd,mdot_aadt_V2013000095_156,fwd
mdot_aadt_V2013000095_156_rev,mdot_aadt_V2013000095_156,rev
mdot_aadt_S2012030018_157_fwd,mdot_aadt_S2012030018_157,fwd
mdot_aadt_S2012030018_157_rev,mdot_aadt_S2012030018_157,rev
mdot_aadt_S2010010071_158_fwd,mdot_aadt_S2010010071_158,fwd
mdot_aadt_S2010010071_158_rev,mdot_aadt_S2010010071_158,rev
mdot_aadt_S2009030026_159_fwd,mdot_aadt_S2009030026_159,fwd
mdot_aadt_S2009030026_159_rev,mdot_aadt_S2009030026_159,rev
mdot_aadt_B040001_160_fwd,mdot_aadt_B040001_160,fwd
mdot_aadt_B040001_160_rev,mdot_aadt_B040001_160,rev
mdot_aadt_S2013030249_161_fwd,mdot_aadt_S2013030249_161,fwd
mdot_aadt_S2013030249_161_rev,mdot_aadt_S2013030249_161,rev
mdot_aadt_V2013000217_162_fwd,mdot_aadt_V2013000217_162,fwd
mdot_aadt_V2013000217_162_rev,mdot_aadt_V2013000217_162,rev
mdot_aadt_S1999030128_163_fwd,mdot_aadt_S1999030128_163,fwd
mdot_aadt_S1999030128_163_rev,mdot_aadt_S1999030128_163,rev
mdot_aadt_V2013000058_164_fwd,mdot_aadt_V2013000058_164,fwd
mdot_aadt_V2013000058_164_rev,mdot_aadt_V2013000058_164,rev
mdot_aadt_S2010030114_165_fwd,mdot_aadt_S2010030114_165,fwd
mdot_aadt_S2010030114_165_rev,mdot_aadt_S2010030114_165,rev
mdot_aadt_S2004020065_166_fwd,mdot_aadt_S2004020065_166,fwd
mdot_aadt_S2004020065_166_rev,mdot_aadt_S2004020065_166,rev
mdot_aadt_S2001030126_167_fwd,mdot_aadt_S2001030126_167,fwd
mdot_aadt_S2001030126_167_rev,mdot_aadt_S2001030126_167,rev
mdot_aadt_S2010020088_168_fwd,mdot_aadt_S2010020088_168,fwd
