taz,x,y,lon,lat,out_sr,state,stfips,cntyfips,fipsstco,region
1036,-76.92323280,38.87847678,-76.92323280,38.87847678,4326,Maryland,24,33,24033,TPB Modeled Region
1037,-76.91492526,38.88189052,-76.91492526,38.88189052,4326,Maryland,24,33,24033,TPB Modeled Region
1038,-76.91908429,38.88261269,-76.91908429,38.88261269,4326,Maryland,24,33,24033,TPB Modeled Region
1039,-76.91334153,38.88678300,-76.91334153,38.88678300,4326,Maryland,24,33,24033,TPB Modeled Region
1040,-76.90708101,38.88725582,-76.90708101,38.88725582,4326,Maryland,24,33,24033,TPB Modeled Region
1041,-76.90543389,38.89099395,-76.90543389,38.89099395,4326,Maryland,24,33,24033,TPB Modeled Region
1042,-76.91518461,38.89923385,-76.91518461,38.89923385,4326,Maryland,24,33,24033,TPB Modeled Region
1043,-76.91767654,38.90290210,-76.91767654,38.90290210,4326,Maryland,24,33,24033,TPB Modeled Region
1044,-76.91122371,38.90315051,-76.91122371,38.90315051,4326,Maryland,24,33,24033,TPB Modeled Region
1045,-76.90220233,38.90495456,-76.90220233,38.90495456,4326,Maryland,24,33,24033,TPB Modeled Region
1046,-76.90785230,38.89830308,-76.90785230,38.89830308,4326,Maryland,24,33,24033,TPB Modeled Region
1047,-76.90203330,38.89883597,-76.90203330,38.89883597,4326,Maryland,24,33,24033,TPB Modeled Region
1048,-76.90220969,38.89552645,-76.90220969,38.89552645,4326,Maryland,24,33,24033,TPB Modeled Region
1049,-76.89675209,38.89600860,-76.89675209,38.89600860,4326,Maryland,24,33,24033,TPB Modeled Region
1050,-76.89230383,38.89697171,-76.89230383,38.89697171,4326,Maryland,24,33,24033,TPB Modeled Region
1051,-76.89464920,38.90211055,-76.89464920,38.90211055,4326,Maryland,24,33,24033,TPB Modeled Region
1052,-76.88593205,38.90355175,-76.88593205,38.90355175,4326,Maryland,24,33,24033,TPB Modeled Region
1053,-76.88468005,38.89786479,-76.88468005,38.89786479,4326,Maryland,24,33,24033,TPB Modeled Region
1054,-76.88183447,38.89175085,-76.88183447,38.89175085,4326,Maryland,24,33,24033,TPB Modeled Region
1055,-76.88771692,38.89245982,-76.88771692,38.89245982,4326,Maryland,24,33,24033,TPB Modeled Region
1056,-76.88796465,38.89780365,-76.88796465,38.89780365,4326,Maryland,24,33,24033,TPB Modeled Region
1057,-76.89110184,38.89272753,-76.89110184,38.89272753,4326,Maryland,24,33,24033,TPB Modeled Region
1058,-76.89747269,38.89101015,-76.89747269,38.89101015,4326,Maryland,24,33,24033,TPB Modeled Region
1059,-76.89231377,38.89022237,-76.89231377,38.89022237,4326,Maryland,24,33,24033,TPB Modeled Region
1060,-76.88828635,38.88542630,-76.88828635,38.88542630,4326,Maryland,24,33,24033,TPB Modeled Region
1061,-76.88733492,38.88894958,-76.88733492,38.88894958,4326,Maryland,24,33,24033,TPB Modeled Region
1062,-76.88219917,38.88316208,-76.88219917,38.88316208,4326,Maryland,24,33,24033,TPB Modeled Region
1063,-76.88921327,38.87494993,-76.88921327,38.87494993,4326,Maryland,24,33,24033,TPB Modeled Region
1064,-76.89363963,38.88329912,-76.89363963,38.88329912,4326,Maryland,24,33,24033,TPB Modeled Region
1065,-76.89992227,38.88234610,-76.89992227,38.88234610,4326,Maryland,24,33,24033,TPB Modeled Region
1066,-76.90678918,38.88144306,-76.90678918,38.88144306,4326,Maryland,24,33,24033,TPB Modeled Region
1067,-76.90680706,38.87587887,-76.90680706,38.87587887,4326,Maryland,24,33,24033,TPB Modeled Region
1068,-76.91468568,38.87815770,-76.91468568,38.87815770,4326,Maryland,24,33,24033,TPB Modeled Region
1069,-76.91527898,38.87085409,-76.91527898,38.87085409,4326,Maryland,24,33,24033,TPB Modeled Region
1070,-76.90585160,38.86995808,-76.90585160,38.86995808,4326,Maryland,24,33,24033,TPB Modeled Region
1071,-76.90712421,38.86196886,-76.90712421,38.86196886,4326,Maryland,24,33,24033,TPB Modeled Region
1072,-76.90068885,38.85898090,-76.90068885,38.85898090,4326,Maryland,24,33,24033,TPB Modeled Region
1073,-76.89776913,38.87045947,-76.89776913,38.87045947,4326,Maryland,24,33,24033,TPB Modeled Region
1074,-76.88800969,38.86555945,-76.88800969,38.86555945,4326,Maryland,24,33,24033,TPB Modeled Region
1075,-76.87841911,38.86643621,-76.87841911,38.86643621,4326,Maryland,24,33,24033,TPB Modeled Region
1076,-76.89045303,38.85758254,-76.89045303,38.85758254,4326,Maryland,24,33,24033,TPB Modeled Region
1077,-76.88127144,38.85173881,-76.88127144,38.85173881,4326,Maryland,24,33,24033,TPB Modeled Region
1078,-76.88140234,38.84584552,-76.88140234,38.84584552,4326,Maryland,24,33,24033,TPB Modeled Region
1079,-76.87884904,38.83757467,-76.87884904,38.83757467,4326,Maryland,24,33,24033,TPB Modeled Region
1080,-76.86850528,38.84576981,-76.86850528,38.84576981,4326,Maryland,24,33,24033,TPB Modeled Region
1081,-76.86337554,38.85487470,-76.86337554,38.85487470,4326,Maryland,24,33,24033,TPB Modeled Region
1082,-76.87616051,38.85772428,-76.87616051,38.85772428,4326,Maryland,24,33,24033,TPB Modeled Region
1083,-76.86766022,38.87013136,-76.86766022,38.87013136,4326,Maryland,24,33,24033,TPB Modeled Region
1084,-76.85739171,38.86353235,-76.85739171,38.86353235,4326,Maryland,24,33,24033,TPB Modeled Region
1085,-76.83683887,38.87553985,-76.83683887,38.87553985,4326,Maryland,24,33,24033,TPB Modeled Region
1086,-76.85045735,38.87538385,-76.85045735,38.87538385,4326,Maryland,24,33,24033,TPB Modeled Region
1087,-76.85282318,38.88599625,-76.85282318,38.88599625,4326,Maryland,24,33,24033,TPB Modeled Region
1088,-76.86892241,38.88154981,-76.86892241,38.88154981,4326,Maryland,24,33,24033,TPB Modeled Region
1089,-76.85900480,38.89248323,-76.85900480,38.89248323,4326,Maryland,24,33,24033,TPB Modeled Region
1090,-76.87182483,38.89501541,-76.87182483,38.89501541,4326,Maryland,24,33,24033,TPB Modeled Region
1091,-76.87557768,38.90779509,-76.87557768,38.90779509,4326,Maryland,24,33,24033,TPB Modeled Region
