scenario,source_row,o_tpb_taz,d_tpb_taz,o_activity,d_activity,departure_time_min,travel_mode,vehicle_occupancy,person_weight,vehicle_weight_unscaled,vehicle_weight
real,110118,2223,2177,2,1,710,4,1,184.00000000,184.00000000,13.10461912
real,110119,2177,2223,1,2,760,4,1,184.00000000,184.00000000,13.10461912
real,110120,2223,2278,2,7,1020,4,1,184.00000000,184.00000000,13.10461912
real,110121,2278,2177,7,1,1170,4,1,184.00000000,184.00000000,13.10461912
real,110122,2177,2223,1,4,520,4,1,184.00000000,184.00000000,13.10461912
real,110123,2223,2177,4,1,945,4,1,184.00000000,184.00000000,13.10461912
real,110124,2177,2223,1,7,1320,4,2,184.00000000,92.00000000,6.55230956
real,110125,2223,2177,7,1,1410,4,2,184.00000000,92.00000000,6.55230956
real,110126,1525,2384,1,2,540,4,1,52.00000000,52.00000000,3.70347932
real,110127,2384,2375,2,12,715,4,1,52.00000000,52.00000000,3.70347932
real,110128,2375,2384,12,2,820,4,1,52.00000000,52.00000000,3.70347932
real,110129,2384,1773,2,3,960,4,1,52.00000000,52.00000000,3.70347932
real,110130,1773,1525,3,1,1005,4,1,52.00000000,52.00000000,3.70347932
real,110131,1525,1540,1,5,680,4,1,52.00000000,52.00000000,3.70347932
real,110132,1540,1940,5,5,695,4,1,52.00000000,52.00000000,3.70347932
real,110133,1940,1525,5,10,750,4,1,52.00000000,52.00000000,3.70347932
real,110136,1525,1525,10,1,830,4,1,52.00000000,52.00000000,3.70347932
real,110142,2025,2033,1,2,345,4,2,163.00000000,81.50000000,5.80449162
real,110143,2033,2025,2,1,365,4,1,163.00000000,163.00000000,11.60898324
real,110144,2025,2388,1,2,735,4,1,163.00000000,163.00000000,11.60898324
real,110145,2388,1728,2,10,860,4,1,163.00000000,163.00000000,11.60898324
real,110146,1728,2025,10,1,885,4,1,163.00000000,163.00000000,11.60898324
real,110147,2033,2025,18,1,780,4,2,163.00000000,81.50000000,5.80449162
real,110148,2025,2019,1,5,845,4,2,163.00000000,81.50000000,5.80449162
real,110149,2019,2019,5,10,890,4,2,163.00000000,81.50000000,5.80449162
real,110150,2019,2025,10,1,1020,4,2,163.00000000,81.50000000,5.80449162
real,110155,3270,3036,1,17,390,4,2,13.74358995,6.87179497,0.48941443
real,110156,3270,3287,1,7,1080,4,2,13.74358995,6.87179497,0.48941443
real,110157,3287,3275,7,5,1230,4,1,13.74358995,13.74358995,0.97882887
real,110158,3275,3270,5,1,1275,4,1,13.74358995,13.74358995,0.97882887
real,110159,564,63,1,2,455,4,1,53.00000000,53.00000000,3.77470007
real,110160,63,564,2,1,990,4,1,53.00000000,53.00000000,3.77470007
real,110161,715,693,1,2,435,4,1,57.00000000,57.00000000,4.05958310
real,110162,693,716,2,5,975,4,1,57.00000000,57.00000000,4.05958310
real,110163,716,715,5,1,1035,4,1,57.00000000,57.00000000,4.05958310
real,110164,503,1113,1,2,385,4,1,63.00000000,63.00000000,4.48690763
real,110165,1113,1111,2,7,690,4,1,63.00000000,63.00000000,4.48690763
real,110166,1111,1113,7,2,750,4,1,63.00000000,63.00000000,4.48690763
real,110167,1113,1115,2,13,930,4,1,63.00000000,63.00000000,4.48690763
real,110168,1115,503,13,1,1025,4,1,63.00000000,63.00000000,4.48690763
real,110173,503,576,1,16,1130,4,2,63.00000000,31.50000000,2.24345382
real,110174,576,503,16,1,1155,4,2,63.00000000,31.50000000,2.24345382
real,110175,3539,3496,1,16,280,4,1,367.00000000,367.00000000,26.13801748
real,110176,3496,1742,16,2,305,4,5,367.00000000,73.40000000,5.22760350
real,110177,1742,3496,2,16,960,4,5,367.00000000,73.40000000,5.22760350
real,110178,3496,3474,16,4,1045,4,1,367.00000000,367.00000000,26.13801748
real,110179,3474,3537,4,8,1110,4,1,367.00000000,367.00000000,26.13801748
real,110180,3537,3531,8,16,1135,4,1,367.00000000,367.00000000,26.13801748
real,110181,3531,3539,16,1,1150,4,2,367.00000000,183.50000000,13.06900874
real,110182,3539,3533,1,16,435,4,2,367.00000000,183.50000000,13.06900874
real,110183,3533,3539,16,1,450,4,1,367.00000000,367.00000000,26.13801748
real,110184,3539,3531,1,16,475,4,3,367.00000000,122.33333333,8.71267249
real,110185,3531,3539,16,1,495,4,1,367.00000000,367.00000000,26.13801748
real,110186,3539,3435,1,10,810,4,1,367.00000000,367.00000000,26.13801748
real,110187,3435,3537,10,5,850,4,1,367.00000000,367.00000000,26.13801748
real,110188,3537,3539,5,1,950,4,1,367.00000000,367.00000000,26.13801748
real,110189,3539,3454,1,16,970,4,3,367.00000000,122.33333333,8.71267249
real,110190,3454,3537,16,5,995,4,1,367.00000000,367.00000000,26.13801748
real,110191,3537,3454,5,16,1015,4,1,367.00000000,367.00000000,26.13801748
real,110192,3454,3539,16,1,1025,4,3,367.00000000,122.33333333,8.71267249
real,110204,2038,2019,1,11,675,4,1,180.00000000,180.00000000,12.81973610
real,110205,2019,2019,11,5,725,4,1,180.00000000,180.00000000,12.81973610
real,110206,2019,2038,5,1,755,4,1,180.00000000,180.00000000,12.81973610
real,110207,2038,1126,1,2,495,4,1,180.00000000,180.00000000,12.81973610
real,110208,1126,1135,2,5,660,4,1,180.00000000,180.00000000,12.81973610
real,110209,1135,1126,5,2,705,4,1,180.00000000,180.00000000,12.81973610
real,110210,1126,2038,2,1,1040,4,1,180.00000000,180.00000000,12.81973610
real,110211,1063,1727,1,2,415,4,1,253.00000000,253.00000000,18.01885129
real,110212,1727,1063,2,1,1185,4,1,253.00000000,253.00000000,18.01885129
real,110219,212,279,1,13,1095,4,1,106.00000000,106.00000000,7.54940015
real,110220,279,212,13,1,1190,4,1,106.00000000,106.00000000,7.54940015
real,110221,1219,1223,1,2,350,4,1,100.00000000,100.00000000,7.12207561
real,110222,1223,1219,2,1,905,4,1,100.00000000,100.00000000,7.12207561
real,110223,1219,3019,1,18,965,4,1,100.00000000,100.00000000,7.12207561
real,110224,3019,1219,18,1,985,4,1,100.00000000,100.00000000,7.12207561
real,110236,3016,2984,2,5,585,4,1,44.73904293,44.73904293,3.18634846
real,110237,2984,3016,5,2,615,4,1,44.73904293,44.73904293,3.18634846
real,110238,3016,2982,1,9,420,4,2,44.73904293,22.36952147,1.59317423
real,110239,2982,3016,9,1,510,4,2,44.73904293,22.36952147,1.59317423
real,110240,3016,3030,1,2,530,4,1,44.73904293,44.73904293,3.18634846
real,110241,3030,3016,2,1,1085,4,1,44.73904293,44.73904293,3.18634846
real,110242,3016,2982,1,4,1005,4,1,44.73904293,44.73904293,3.18634846
real,110243,2982,3016,4,1,1245,4,1,44.73904293,44.73904293,3.18634846
real,110244,940,608,1,2,420,4,1,121.00000000,121.00000000,8.61771149
real,110245,608,586,2,7,750,4,2,121.00000000,60.50000000,4.30885574
real,110246,586,608,7,2,840,4,2,121.00000000,60.50000000,4.30885574
real,110247,608,591,2,5,1020,4,1,121.00000000,121.00000000,8.61771149
real,110248,591,940,5,1,1080,4,1,121.00000000,121.00000000,8.61771149
real,110249,940,588,1,2,390,4,1,121.00000000,121.00000000,8.61771149
real,110250,588,940,2,1,1000,4,1,121.00000000,121.00000000,8.61771149
real,110251,940,2984,1,7,1080,4,1,121.00000000,121.00000000,8.61771149
real,110252,2984,940,7,1,1350,4,1,121.00000000,121.00000000,8.61771149
real,110253,2823,2917,1,2,410,4,1,135.00000000,135.00000000,9.61480207
real,110254,2917,2935,2,5,1000,4,1,135.00000000,135.00000000,9.61480207
real,110255,2935,2935,5,7,1035,4,1,135.00000000,135.00000000,9.61480207
real,110256,2935,2823,7,1,1070,4,1,135.00000000,135.00000000,9.61480207
real,110257,2823,2833,1,2,420,4,1,135.00000000,135.00000000,9.61480207
real,110258,2833,2921,2,9,890,4,1,135.00000000,135.00000000,9.61480207
real,110259,2921,2823,9,1,940,4,1,135.00000000,135.00000000,9.61480207
real,110269,1724,1718,1,12,495,4,1,88.00000000,88.00000000,6.26742654
real,110270,1718,1734,12,10,570,4,1,88.00000000,88.00000000,6.26742654
real,110271,1734,1734,10,8,590,4,1,88.00000000,88.00000000,6.26742654
real,110272,1734,1717,8,10,605,4,1,88.00000000,88.00000000,6.26742654
real,110273,1717,1724,10,1,620,4,1,88.00000000,88.00000000,6.26742654
real,110274,1724,1968,1,5,755,4,1,88.00000000,88.00000000,6.26742654
real,110275,1968,1706,5,12,805,4,1,88.00000000,88.00000000,6.26742654
real,110276,1706,1737,12,18,850,4,1,88.00000000,88.00000000,6.26742654
real,110277,1737,1737,18,5,860,4,1,88.00000000,88.00000000,6.26742654
real,110278,1737,1730,5,5,870,4,1,88.00000000,88.00000000,6.26742654
real,110279,1730,1724,5,1,895,4,1,88.00000000,88.00000000,6.26742654
real,110280,1982,1998,1,16,420,4,3,1021.00000000,340.33333333,24.23879732
real,110281,1998,1982,16,1,435,4,1,1021.00000000,1021.00000000,72.71639197
real,110282,1982,1958,1,2,700,4,1,1021.00000000,1021.00000000,72.71639197
real,110283,1958,1982,2,1,1235,4,1,1021.00000000,1021.00000000,72.71639197
real,110288,708,698,1,7,725,4,2,193.00000000,96.50000000,6.87280296
real,110289,698,708,7,1,790,4,2,193.00000000,96.50000000,6.87280296
real,110290,708,701,1,3,620,4,1,193.00000000,193.00000000,13.74560593
real,110291,701,699,3,5,650,4,1,193.00000000,193.00000000,13.74560593
real,110292,699,708,5,1,685,4,1,193.00000000,193.00000000,13.74560593
real,110295,708,680,1,11,865,4,1,193.00000000,193.00000000,13.74560593
real,110296,680,708,11,1,1000,4,1,193.00000000,193.00000000,13.74560593
real,110301,1517,1544,1,13,330,4,1,39.00000000,39.00000000,2.77760949
real,110302,1544,1517,13,1,420,4,1,39.00000000,39.00000000,2.77760949
real,110303,1517,1565,1,2,525,4,1,39.00000000,39.00000000,2.77760949
real,110304,1565,1907,2,5,1020,4,1,39.00000000,39.00000000,2.77760949
real,110305,1907,1517,5,1,1080,4,1,39.00000000,39.00000000,2.77760949
real,110313,2241,1683,1,2,500,4,1,124.00000000,124.00000000,8.83137376
real,110314,1683,1612,2,2,705,4,1,124.00000000,124.00000000,8.83137376
real,110315,1612,1683,2,2,875,4,1,124.00000000,124.00000000,8.83137376
real,110316,1683,2241,2,1,910,4,1,124.00000000,124.00000000,8.83137376
real,110317,2241,1805,1,14,905,4,2,124.00000000,62.00000000,4.41568688
real,110318,1805,2241,14,1,1205,4,2,124.00000000,62.00000000,4.41568688
real,110329,131,127,1,16,470,4,2,141.00000000,70.50000000,5.02106330
real,110330,127,131,16,1,485,4,1,141.00000000,141.00000000,10.04212661
real,110358,2279,2357,1,2,335,4,1,38.00000000,38.00000000,2.70638873
real,110359,2357,2279,2,1,675,4,1,38.00000000,38.00000000,2.70638873
real,110360,2279,2271,1,5,780,4,1,38.00000000,38.00000000,2.70638873
real,110361,2271,2279,5,1,825,4,1,38.00000000,38.00000000,2.70638873
real,110362,2279,2275,1,2,435,4,2,38.00000000,19.00000000,1.35319437
