requested_station_id,report_station_id,location,start_date,end_date,day_of_week,duration,report_type_id,count_id,source,report_record_id,report_source,report_values,report_options,itms_station_url
B160085,B160085,MD212-.10 MI N OF CHERRY HILL RD,2017-11-08,2017-11-09,Wednesday,48 Hr,7,1433832,SHA,1193286,Summary,ClassDetail.rpt|VolumeDetail.rpt,"[{""label"": ""Class Detail"", ""value"": ""ClassDetail.rpt""}, {""label"": ""Volume Detail"", ""value"": ""VolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160085
B160080,B160080,MD193-.20 MI E OF GOOD LUCK RD,2018-05-02,2018-05-03,Wednesday,48 Hr,7,1450915,SHA,1205915,Summary,ClassDetail.rpt|VolumeDetail.rpt,"[{""label"": ""Class Detail"", ""value"": ""ClassDetail.rpt""}, {""label"": ""Volume Detail"", ""value"": ""VolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160080
B160080,S2018160065,MD 193 at AEROSPACE RD/ENT TO BUSINESS,2018-04-24,2018-04-24,Tuesday,24 Hr,17,1449524,SHA,1207582,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160080
B160086,B160086,MD 212-.10 MI S OF POWDER MILL RD/OLD GUNPOWDER RD,2017-11-14,2017-11-15,Tuesday,48 Hr,39,1433837,SHA,1193287,Summary,VolumeDetail.rpt|LengthClass.rpt,"[{""label"": ""Volume Detail"", ""value"": ""VolumeDetail.rpt""}, {""label"": ""Length Class"", ""value"": ""LengthClass.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160086
B160094,B160094,COUNTY RD-.10 MI N OF MARLBORO PIKE,2017-11-01,2017-11-02,Wednesday,48 Hr,8,1432722,SHA,1193272,Summary,VolumeDetail.rpt,"[{""label"": ""Volume Detail"", ""value"": ""VolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160094
B160089,B160089,US301-.10 MI N OF MD197,2019-05-15,2019-05-17,Wednesday,48 Hr,7,1495440,SHA,1234582,Summary,ClassDetail.rpt|VolumeDetail.rpt,"[{""label"": ""Class Detail"", ""value"": ""ClassDetail.rpt""}, {""label"": ""Volume Detail"", ""value"": ""VolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160089
B160093,S2008160026,MD 197 at OLD LAUREL BOWIE RD,2019-04-11,2019-04-11,Thursday,24 Hr,17,1488953,SHA,1233395,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160093
B160093,B160093,OLD LAUREL BOWIE RD-.10 MI S OF HILLTOP LA,2017-11-15,2017-11-16,Wednesday,48 Hr,7,1433829,SHA,1193277,Summary,ClassDetail.rpt|VolumeDetail.rpt,"[{""label"": ""Class Detail"", ""value"": ""ClassDetail.rpt""}, {""label"": ""Volume Detail"", ""value"": ""VolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160093
B160090,B160090,US1-BETWEEN CAMPUS DR/PAINT BRANCH PKWY &amp; LAKELAND RD,2018-08-01,2018-08-02,Wednesday,48 Hr,13,1457985,SHA,1214267,Summary,ClassDetail.rpt|VolumeDetail.rpt,"[{""label"": ""Class Detail"", ""value"": ""ClassDetail.rpt""}, {""label"": ""Volume Detail"", ""value"": ""VolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160090
B160090,S1999160297,US 1 at Campus Dr/Paint Branch Pkwy,2017-10-19,2017-10-19,Thursday,24 Hr,17,1430550,SHA,1192996,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160090
