state_code,station_id,direction,latitude,longitude,route,location_text,source_file
24,0P0069,1,39166032,76837719,3,MD 32 - .78 Mile North of IS 95 (ATR#69)          ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0031,3,39417780,76655913,1,IS 83/IS 695 - .35 Mile East of Joppa Rd (ATR#31 O,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0083,5,38396505,75306839,3,ile North of MD 346                               ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0038,7,0,0,3,MD 100 - .45 Mile West of Oakwood Rd (ATR#38)     ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0040,1,38981416,77172361,1,AT PERSIMMON TREE RD OVERPASS                     ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0040,3,38981418,77172357,1,IS 495 - 50ft East of Persimmon Tree Rd Overpass (,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0040,7,38981418,77172357,1,IS 495 - 50ft East of Persimmon Tree Rd Overpass (,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0041,7,39018199,76991452,1,IS 495 - .82 Mile West of MD 650 (ATR#41)         ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0049,1,38816980,76948714,1,IS 95 - 50ft South of Temple Hill Rd Overpass (ATR,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0051,5,39227402,76715872,1,IS 95 - .15 Mile North of Howard County Line (ATR#,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0052,5,39428381,76635650,1,IS 83 - .64 Mile North of IS 695 (ATR#52)         ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0053,7,0,0,1,IS 70 - 1.25 Miles West of IS 695 (ATR#53)        ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
