state_code,station_id,direction,lane,daily_count,hours_observed,latitude,longitude,route,location_text,source_file
24,0P0087,5,0,134200,24,38101803,76365215,3,MD 5 - .20 Mile North of Fresh Pond Neck Rd (ATR#8,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0084,5,0,117300,24,39065442,75850699,3,MD 313 - .22 Mile South of Queen Anne's County Lin,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,040506,1,0,869239,24,37593660,77467720,1,I-95 South Shoulder @ MM 80                       ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,050206,1,0,331377,24,37961200,75533020,2,.                                                 ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,010406,1,0,238004,24,36616000,82187210,1,0.50 N KEY ST                                     ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,140243,5,0,157284,24,37550400,77435590,1,I-95 NORTH SHOULDER @ MM75                        ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,190057,5,0,98749,24,38801670,77209790,1,3/4 mile south Braddock Road interchange          ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,090138,1,0,98145,24,38801130,77208880,1,1.1 MI FR I-95; I-395 (Springfield Interchange)   ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,190001,1,0,87197,24,38795370,77143720,1,1.2 mi from I-495                                 ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,190005,5,0,87061,24,38795370,77143720,1,1.2 mi from I-495                                 ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,190013,5,0,79257,24,38603780,77311630,1,.7 MI S Cardinal DR Overpass (ADR from 19974101 is,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,160306,5,0,78018,24,38314790,77504290,1,FREDERICKSBURG WELCOME CENTER EXIT RAMP           ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,060168,1,0,76391,24,38313400,77502820,1,I-95 North Shoulder @ MM 131.53                   ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,150069,7,0,76181,24,36857522,76195268,1,0.14 mi from Virginia Beach Blvd Overpass         ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,190316,5,0,74134,24,38469300,77405790,1,I-95 South Shoulder @ MM 143.95                   ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,140300,5,0,73917,24,37669670,77448030,1,I-95 South Median @ Exit 84 to I-295 East         ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,090305,1,0,73608,24,38587420,77318400,1,.6 Miles N Dumfries Rd / RTE 234 Overpass         ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,190015,5,0,73401,24,38540670,77348920,1,I-95 South Shoulder @ MM 149.1                    ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,060314,1,0,72976,24,38397540,77435810,1,I-95 South Shoulder @ MM 138.7                    ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,140055,5,0,71404,24,37570390,77477370,1,0.10 Mile North of US 33; US 250 overpass         ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,060315,1,0,70906,24,38468130,77405270,1,I-95 North Shoulder @ MM 143.8                    ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
51,160001,5,0,70446,24,38456580,77409360,1,0.45 S RAMP FR RT 610                             ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
