o_activity,o_tpb_taz,d_activity,d_tpb_taz,departure_time_min,travel_mode,transit_access_mode,transit_egress_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,subway_used,subway_pay,subway_station_board,subway_access_mode,subway_station_exit,subway_egress_mode,hov_used,toll_road_used,distance,reported_travel_time,year,bodytype,make,model,fueltype,tolltransponder,home_tpb_taz,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_days,tdate_dow,hhtrips,package_delivered,food_delivered,service_delivered,wthhfin,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,j1_workplace_loc,work_tpb_taz,j1_commute_mode,j1_telecommute,j1_telecommute_days,j1_benefits_free_parking,j1_benefits_parking,j1_benefits_transit,j1_benefits_carpool,j1_benefits_walking_biking,j1_benefits_ev_charging,j1_benefits_bicycle_parking,j1_benefits_none,student_status,school_type,school_tpb_taz,school_freq,school_mode,volunteer_status,td_telecommute_time,td_shop_time,person_tripcount,walk_bike_loop_trips
1,1575,2,1415,495,4,,,1,0,1,2,0,,,,,,,,,5.3920071389,20,2010.0,3.0,Ford,Explorer,1.0,1.0,1575,2,2,2,0,2,2,0,2,2,4,8,302,1,9,0,0,0,72.0,28,2,4,2,1,2,1,0,1,2,1689,3,1,1,0,0,0,0,0,0,0,0,0,,,,,2,8,0,5,0
2,1415,2,1416,780,1,,,1,0,,,,,,,,,,,,0.5704331984,15,,,,,,,1575,2,2,2,0,2,2,0,2,2,4,8,302,1,9,0,0,0,72.0,28,2,4,2,1,2,1,0,1,2,1689,3,1,1,0,0,0,0,0,0,0,0,0,,,,,2,8,0,5,0
2,1416,13,1413,945,1,,,1,0,,,,,,,,,,,,0.5882034924,10,,,,,,,1575,2,2,2,0,2,2,0,2,2,4,8,302,1,9,0,0,0,72.0,28,2,4,2,1,2,1,0,1,2,1689,3,1,1,0,0,0,0,0,0,0,0,0,,,,,2,8,0,5,0
13,1413,2,1415,1020,1,,,1,0,,,,,,,,,,,,0.1143254702,10,,,,,,,1575,2,2,2,0,2,2,0,2,2,4,8,302,1,9,0,0,0,72.0,28,2,4,2,1,2,1,0,1,2,1689,3,1,1,0,0,0,0,0,0,0,0,0,,,,,2,8,0,5,0
2,1415,1,1575,1035,4,,,1,0,1,3,0,,,,,,,,,5.3920071389,25,2010.0,3.0,Ford,Explorer,1.0,1.0,1575,2,2,2,0,2,2,0,2,2,4,8,302,1,9,0,0,0,72.0,28,2,4,2,1,2,1,0,1,2,1689,3,1,1,0,0,0,0,0,0,0,0,0,,,,,2,8,0,5,0
1,642,2,147,495,4,,,1,0,1,2,1,,,,,,,,,3.5377912074,25,2016.0,1.0,Mazda,Mazda3,1.0,2.0,642,2,1,1,0,1,1,0,1,0,1,7,376,5,6,0,0,0,235.0,68,1,4,2,1,2,1,0,1,1,147,3,2,,0,1,1,0,0,0,0,0,0,,,,,1,0,0,6,0
2,147,2,1475,675,12,,,1,0,,,,,,,,,,,,4.519525399,25,,,,,,,642,2,1,1,0,1,1,0,1,0,1,7,376,5,6,0,0,0,235.0,68,1,4,2,1,2,1,0,1,1,147,3,2,,0,1,1,0,0,0,0,0,0,,,,,1,0,0,6,0
2,1475,2,147,935,7,1,1,1,0,,,,1,1,70,1,86,1,,,4.519525399,45,,,,,,,642,2,1,1,0,1,1,0,1,0,1,7,376,5,6,0,0,0,235.0,68,1,4,2,1,2,1,0,1,1,147,3,2,,0,1,1,0,0,0,0,0,0,,,,,1,0,0,6,0
2,147,13,142,1125,1,,,1,0,,,,,,,,,,,,0.1582859318,10,,,,,,,642,2,1,1,0,1,1,0,1,0,1,7,376,5,6,0,0,0,235.0,68,1,4,2,1,2,1,0,1,1,147,3,2,,0,1,1,0,0,0,0,0,0,,,,,1,0,0,6,0
13,142,2,147,1185,1,,,1,0,,,,,,,,,,,,0.1582859318,10,,,,,,,642,2,1,1,0,1,1,0,1,0,1,7,376,5,6,0,0,0,235.0,68,1,4,2,1,2,1,0,1,1,147,3,2,,0,1,1,0,0,0,0,0,0,,,,,1,0,0,6,0
2,147,1,642,1200,4,,,1,0,1,1,,,,,,,,,,3.5377912074,25,2016.0,1.0,Mazda,Mazda3,1.0,2.0,642,2,1,1,0,1,1,0,1,0,1,7,376,5,6,0,0,0,235.0,68,1,4,2,1,2,1,0,1,1,147,3,2,,0,1,1,0,0,0,0,0,0,,,,,1,0,0,6,0
1,570,11,633,600,4,,,1,0,1,3,,,,,,,,,,7.8144227391,30,2011.0,1.0,BMW,3 series,1.0,1.0,570,1,1,2,0,2,1,0,2,2,0,7,288,1,4,0,0,0,163.0,61,1,4,2,1,2,1,1,,,,9,,,,,,,,,,,0,,,,,2,0,0,2,0
11,633,1,570,1020,4,,,1,0,1,1,,,,,,,,,,7.8144227391,40,2011.0,1.0,BMW,3 series,1.0,1.0,570,1,1,2,0,2,1,0,2,2,0,7,288,1,4,0,0,0,163.0,61,1,4,2,1,2,1,1,,,,9,,,,,,,,,,,0,,,,,2,0,0,2,0
