o_activity,o_tract_fips,d_activity,d_tract_fips,departure_time_minutes,reported_travel_time,travel_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,hov_used,toll_road_used,distance,year,vehicle,tolltransponder,home_tract_fips,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_week,tdate_dow,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,work_tract_fips,student_status,volunteer_status,weight
5,24001000600,5,24001000700,645,15,4,1,0,1,2,-1,-1,-1,1.804,2008.0,"(Toyota, Avalon, 1.0, 1.0)",2.0,24001000600,1,1,2,0,2,0,1,2,0,0,5,70,5,69,1,1,2,1,2,1,1,0,-1,0,1,133.612035607087
5,24001000700,1,24001000600,675,10,4,1,0,1,3,-1,-1,-1,0.784,2008.0,"(Toyota, Avalon, 1.0, 1.0)",2.0,24001000600,1,1,2,0,2,0,1,2,0,0,5,70,5,69,1,1,2,1,2,1,1,0,-1,0,1,133.612035607087
1,24001000600,7,24001001401,990,15,5,2,0,2,-1,-1,-1,-1,5.824,2008.0,"(Toyota, Avalon, 1.0, 1.0)",2.0,24001000600,1,1,2,0,2,0,1,2,0,0,5,70,5,69,1,1,2,1,2,1,1,0,-1,0,1,133.612035607087
7,24001001401,12,24001000600,1080,15,5,2,0,2,-1,-1,-1,-1,5.303,2008.0,"(Toyota, Avalon, 1.0, 1.0)",2.0,24001000600,1,1,2,0,2,0,1,2,0,0,5,70,5,69,1,1,2,1,2,1,1,0,-1,0,1,133.612035607087
1,24001000600,14,24001002100,540,30,4,1,0,1,3,-1,-1,-1,21.691,2007.0,"(Chevrolet, Colorado, 4.0, 1.0)",2.0,24001000600,1,1,2,0,2,0,1,2,0,0,5,70,5,70,2,1,2,1,1,2,1,0,-1,0,1,133.612035607087
14,24001002100,1,24001000600,660,30,4,1,0,1,1,-1,-1,-1,21.041,2007.0,"(Chevrolet, Colorado, 4.0, 1.0)",2.0,24001000600,1,1,2,0,2,0,1,2,0,0,5,70,5,70,2,1,2,1,1,2,1,0,-1,0,1,133.612035607087
1,24001000600,7,24001001401,990,15,4,2,0,2,2,-1,-1,-1,5.824,2008.0,"(Toyota, Avalon, 1.0, 1.0)",2.0,24001000600,1,1,2,0,2,0,1,2,0,0,5,70,5,70,2,1,2,1,1,2,1,0,-1,0,1,133.612035607087
7,24001001401,12,24001000600,1080,15,4,2,0,2,3,-1,-1,-1,5.303,2008.0,"(Toyota, Avalon, 1.0, 1.0)",2.0,24001000600,1,1,2,0,2,0,1,2,0,0,5,70,5,70,2,1,2,1,1,2,1,0,-1,0,1,133.612035607087
1,24001000600,5,24001001401,377,11,4,1,0,1,2,-1,-1,-1,6.294,2013.0,"(Subaru, XV Crosstrek, 3.0, 1.0)",2.0,24001000600,1,1,4,2,2,1,0,2,0,4,4,70,1,34,1,1,2,1,2,1,3,0,-1,0,1,356.666602927858
5,24001001401,3,24001000800,416,7,4,1,0,1,3,-1,-1,-1,6.815,2013.0,"(Subaru, XV Crosstrek, 3.0, 1.0)",2.0,24001000600,1,1,4,2,2,1,0,2,0,4,4,70,1,34,1,1,2,1,2,1,3,0,-1,0,1,356.666602927858
3,24001000800,1,24001000600,483,4,4,1,0,1,1,-1,-1,-1,1.348,2013.0,"(Subaru, XV Crosstrek, 3.0, 1.0)",2.0,24001000600,1,1,4,2,2,1,0,2,0,4,4,70,1,34,1,1,2,1,2,1,3,0,-1,0,1,356.666602927858
1,24001000600,16,24001000800,498,10,4,3,0,3,3,-1,-1,-1,1.709,2013.0,"(Subaru, XV Crosstrek, 3.0, 1.0)",2.0,24001000600,1,1,4,2,2,1,0,2,0,4,4,70,1,34,1,1,2,1,2,1,3,0,-1,0,1,356.666602927858
16,24001000800,1,24001000600,526,10,4,1,0,1,3,-1,-1,-1,1.348,2013.0,"(Subaru, XV Crosstrek, 3.0, 1.0)",2.0,24001000600,1,1,4,2,2,1,0,2,0,4,4,70,1,34,1,1,2,1,2,1,3,0,-1,0,1,356.666602927858
1,24001000600,16,24001000800,674,10,4,1,0,1,3,-1,-1,-1,1.709,2013.0,"(Subaru, XV Crosstrek, 3.0, 1.0)",2.0,24001000600,1,1,4,2,2,1,0,2,0,4,4,70,1,34,1,1,2,1,2,1,3,0,-1,0,1,356.666602927858
