o_activity,o_tract_fips,d_activity,d_tract_fips,departure_time_minutes,reported_travel_time,travel_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,hov_used,toll_road_used,distance,year,vehicle,tolltransponder,home_tract_fips,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_week,tdate_dow,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,work_tract_fips,student_status,volunteer_status,weight
3,24013506102,3,24013508101,650,5,4,2,0,2,2,-1,-1,-1,1.66,2011.0,"(Honda, Pilot, 3.0, 1.0)",2.0,24013506101,1,1,2,0,2,0,0,1,0,0,6,93,1,75,2,1,2,1,2,1,1,0,-1,0,2,13.2954308682899
2,24031701007,10,24031701211,945,10,4,1,0,1,2,-1,-1,-1,1.7178262572,1999.0,"(BMW, 5 series, 1.0, 1.0)",1.0,24031701314,1,1,2,0,2,2,0,3,2,0,7,66,3,69,2,4,2,1,2,1,0,1,24031701007,0,2,64.0
5,51600300400,1,51059430101,575,10,4,2,0,2,1,-1,-1,-1,4.2131124218,2015.0,"(Hyundai, Sonata, 1.0, 1.0)",1.0,51059430101,1,1,2,0,2,1,0,2,2,1,6,48,4,64,1,4,2,1,2,1,1,0,-1,0,2,184.0
1,24003740500,2,24033800507,355,20,4,1,0,1,2,-1,-1,-1,20.13,2016.0,"(Hyundai, Sonata, 1.0, 1.0)",1.0,24003740500,2,1,2,1,1,1,0,1,1,1,5,78,4,49,1,1,2,1,2,1,0,2,24033800507,0,2,21.799689544355
5,24043000900,5,24043000900,705,5,5,2,0,2,-1,-1,-1,-1,0.131,2009.0,"(Mazda, CX-7, 3.0, 1.0)",2.0,24043001001,1,1,2,0,2,0,0,1,0,0,5,99,4,66,2,1,2,1,2,1,1,0,-1,0,1,104.014572329425
9,51059481202,1,51107611207,1095,30,4,2,0,2,1,-1,-1,-1,8.6985457561,2013.0,"(Honda, CR-V, 3.0, 1.0)",1.0,51107611207,1,1,4,2,2,1,0,2,1,1,8,52,2,45,1,4,2,1,2,1,2,0,-1,0,2,225.0
16,24031701214,5,24033806713,545,40,4,3,0,3,2,-1,-1,-1,13.522460941,2014.0,"(Honda, CR-V, 3.0, 1.0)",1.0,24031704000,1,1,4,2,2,2,0,1,1,0,8,52,2,37,1,4,2,1,2,1,0,1,11001005900,0,1,256.0
5,24005430400,7,24005430700,1068,12,4,1,0,1,3,-1,-1,-1,2.33,2011.0,"(Lincoln, MKX, 3.0, 1.0)",1.0,24005430800,1,1,1,0,1,1,0,1,1,1,7,113,3,55,2,1,2,1,2,1,0,1,24510220100,0,1,185.703225607172
7,51153901411,16,51061930100,975,25,4,2,1,3,4,-1,-1,-1,7.6230640103,2016.0,"(Toyota, Highlander, 3.0, 1.0)",2.0,51061930304,1,1,3,1,2,1,0,4,0,0,8,71,5,44,1,4,2,1,2,1,2,0,-1,0,2,136.0
1,24021750100,13,24021751701,1025,10,4,1,0,1,2,-1,-1,-1,2.8168961411,2003.0,"(Toyota, Corolla, 1.0, 1.0)",2.0,24021750100,3,2,1,0,1,1,0,1,0,0,5,71,5,42,2,4,2,1,2,1,0,1,24021766800,0,2,72.0
2,24033807102,1,24033806000,1095,15,4,1,0,1,2,-1,-1,-1,1.9716574809,2013.0,"(Honda, Civic, 1.0, 1.0)",2.0,24033806000,3,2,1,0,1,1,0,1,0,0,6,72,3,33,1,4,2,1,2,1,0,1,24033807102,0,2,65.0
