column,value,count,percentage
o_tpb_taz,166,74,0.066185%
o_tpb_taz,1945,74,0.066185%
o_tpb_taz,1682,74,0.066185%
o_tpb_taz,1978,74,0.066185%
o_tpb_taz,1810,74,0.066185%
o_tpb_taz,189,74,0.066185%
o_tpb_taz,1637,74,0.066185%
o_tpb_taz,1642,74,0.066185%
o_tpb_taz,2112,74,0.066185%
o_tpb_taz,3093,73,0.065290%
o_tpb_taz,1214,73,0.065290%
o_tpb_taz,592,73,0.065290%
o_tpb_taz,2979,73,0.065290%
o_tpb_taz,260,73,0.065290%
o_tpb_taz,375,73,0.065290%
o_tpb_taz,1647,73,0.065290%
o_tpb_taz,540,73,0.065290%
o_tpb_taz,2638,73,0.065290%
o_tpb_taz,502,72,0.064396%
o_tpb_taz,41,72,0.064396%
o_tpb_taz,2140,72,0.064396%
o_tpb_taz,2142,72,0.064396%
o_tpb_taz,2329,72,0.064396%
o_tpb_taz,1969,72,0.064396%
o_tpb_taz,603,72,0.064396%
o_tpb_taz,715,72,0.064396%
o_tpb_taz,2397,72,0.064396%
o_tpb_taz,2541,72,0.064396%
o_tpb_taz,2332,72,0.064396%
o_tpb_taz,220,72,0.064396%
o_tpb_taz,153,72,0.064396%
o_tpb_taz,2668,72,0.064396%
o_tpb_taz,1183,71,0.063502%
o_tpb_taz,584,71,0.063502%
o_tpb_taz,151,71,0.063502%
o_tpb_taz,617,71,0.063502%
o_tpb_taz,1681,71,0.063502%
o_tpb_taz,759,71,0.063502%
o_tpb_taz,179,70,0.062607%
o_tpb_taz,2125,70,0.062607%
o_tpb_taz,2750,70,0.062607%
o_tpb_taz,2368,70,0.062607%
o_tpb_taz,1627,70,0.062607%
o_tpb_taz,3099,69,0.061713%
o_tpb_taz,841,69,0.061713%
o_tpb_taz,1692,69,0.061713%
o_tpb_taz,3669,69,0.061713%
o_tpb_taz,1563,69,0.061713%
o_tpb_taz,3548,69,0.061713%
o_tpb_taz,1650,68,0.060819%
o_tpb_taz,2922,68,0.060819%
o_tpb_taz,2837,68,0.060819%
o_tpb_taz,2560,68,0.060819%
o_tpb_taz,3472,68,0.060819%
o_tpb_taz,2150,68,0.060819%
o_tpb_taz,515,68,0.060819%
o_tpb_taz,3272,67,0.059924%
o_tpb_taz,558,67,0.059924%
o_tpb_taz,1768,67,0.059924%
o_tpb_taz,1591,67,0.059924%
o_tpb_taz,751,67,0.059924%
o_tpb_taz,1632,67,0.059924%
o_tpb_taz,1597,67,0.059924%
o_tpb_taz,3325,67,0.059924%
o_tpb_taz,1689,67,0.059924%
o_tpb_taz,2414,67,0.059924%
o_tpb_taz,1706,67,0.059924%
o_tpb_taz,2040,67,0.059924%
o_tpb_taz,2878,67,0.059924%
o_tpb_taz,3046,66,0.059030%
o_tpb_taz,685,66,0.059030%
o_tpb_taz,1297,66,0.059030%
o_tpb_taz,2909,66,0.059030%
o_tpb_taz,1740,66,0.059030%
o_tpb_taz,82,66,0.059030%
o_tpb_taz,1429,66,0.059030%
o_tpb_taz,154,66,0.059030%
o_tpb_taz,406,66,0.059030%
o_tpb_taz,1732,66,0.059030%
o_tpb_taz,2677,66,0.059030%
o_tpb_taz,2147,66,0.059030%
o_tpb_taz,2324,66,0.059030%
o_tpb_taz,2841,66,0.059030%
o_tpb_taz,1344,66,0.059030%
o_tpb_taz,2726,66,0.059030%
o_tpb_taz,413,65,0.058135%
o_tpb_taz,1976,65,0.058135%
o_tpb_taz,161,65,0.058135%
o_tpb_taz,1741,65,0.058135%
o_tpb_taz,1728,65,0.058135%
o_tpb_taz,3632,65,0.058135%
o_tpb_taz,544,65,0.058135%
o_tpb_taz,3183,65,0.058135%
o_tpb_taz,3454,65,0.058135%
o_tpb_taz,1099,64,0.057241%
o_tpb_taz,3295,64,0.057241%
o_tpb_taz,368,64,0.057241%
o_tpb_taz,530,64,0.057241%
o_tpb_taz,3578,64,0.057241%
o_tpb_taz,182,64,0.057241%
o_tpb_taz,2359,64,0.057241%
o_tpb_taz,148,64,0.057241%
o_tpb_taz,2478,64,0.057241%
o_tpb_taz,790,64,0.057241%
o_tpb_taz,2999,63,0.056347%
o_tpb_taz,2351,63,0.056347%
o_tpb_taz,1846,63,0.056347%
o_tpb_taz,1672,63,0.056347%
o_tpb_taz,1078,63,0.056347%
o_tpb_taz,619,63,0.056347%
o_tpb_taz,157,63,0.056347%
o_tpb_taz,150,63,0.056347%
o_tpb_taz,3373,63,0.056347%
o_tpb_taz,2066,63,0.056347%
o_tpb_taz,2904,63,0.056347%
o_tpb_taz,284,62,0.055452%
o_tpb_taz,2983,62,0.055452%
o_tpb_taz,587,62,0.055452%
o_tpb_taz,198,62,0.055452%
o_tpb_taz,391,62,0.055452%
o_tpb_taz,904,62,0.055452%
o_tpb_taz,689,62,0.055452%
o_tpb_taz,3438,62,0.055452%
o_tpb_taz,638,62,0.055452%
o_tpb_taz,672,62,0.055452%
o_tpb_taz,149,62,0.055452%
o_tpb_taz,1556,62,0.055452%
o_tpb_taz,2068,62,0.055452%
o_tpb_taz,3634,62,0.055452%
o_tpb_taz,100,62,0.055452%
o_tpb_taz,383,61,0.054558%
o_tpb_taz,63,61,0.054558%
o_tpb_taz,191,61,0.054558%
o_tpb_taz,2973,61,0.054558%
o_tpb_taz,183,61,0.054558%
o_tpb_taz,60,61,0.054558%
o_tpb_taz,379,61,0.054558%
o_tpb_taz,106,61,0.054558%
o_tpb_taz,3193,61,0.054558%
o_tpb_taz,1575,61,0.054558%
