segment_id,segment_group,direction,route,route_type,description,observed_speed_mph,travel_time_min,speed_time_min,length_miles,status,congestion,imputation,source_link_id,start_lon,start_lat,end_lon,end_lat,start_milepost,end_milepost,fetched_at_utc,source_response_url,source_metadata_url
VA_I-295_43.1-29,segment,S,I-295,I,from I-295 Jct I-95 North Richmond (MM 43.1) to Junction Interstate 64 West-Exit 28D (MM 29),70.00000000,12.10000000,12.10000000,14.10000000,open,1,0.0,367006350,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-95_75.6-91.74,segment,N,I-95,I,from I-95 Jct I-295 East Richmond (MM 75.6) to VA-54E Exit92A (MM 91.74),61.26000000,15.80000000,15.80000000,16.10000000,open,1,0.0,367036605,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-64_194.3-178.85,segment,W,I-64,I,from I-64 Junction Virginia 33 East Exit 193B-Richmond (MM 194.3) to Junction US 250 West-Exit 178A (MM 178.85),57.75000000,16.00000000,16.00000000,15.40000000,open,1,0.0,367045894,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-295_30.1-42.7,segment,N,I-295,I,from I-295 Jct I-64 East Richmond (MM 30.1) to boundary of HENRICO COUNTY LINE/HANOVER CL (MM 42.7),58.67000000,12.90000000,12.20000000,12.60000000,open,1,0.0,367054963,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-77_0.5-24.1,segment,N,I-77,I,from I-77 North Carolina State Line (MM 0.5) to boundary of CARROLL CO/WYTHE CL (MM 24.1),60.77000000,23.30000000,21.80000000,23.60000000,open,1,0.0,423967690,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-77_24.2-32,segment,N,I-77,I,from I-77 boundary of CARROLL CO/WYTHE CL (MM 24.2) to I-81 Exit32 (MM 32),60.48000000,7.70000000,0.00000000,7.80000000,open,0,0.0,10250891541,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-66_66.1-70.87,segment,E,I-66,I,from I-66 VA-7 Exit66 (MM 66.1) to Fairfax Dr Exit71 (MM 70.87),56.40000000,5.00000000,5.00000000,4.70000000,open,1,0.0,425198235,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-66_67.47-72.47,segment,E,I-66,I,from I-66 boundary of FAIRFAX - ARLINGTON CL (MM 67.47) to US-29/VA-124 Exit72 (MM 72.47),60.00000000,5.00000000,5.00000000,5.00000000,open,1,0.0,425198251,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-66_72.47-74.77,segment,E,I-66,I,from I-66 US-29/VA-124 Exit72 (MM 72.47) to Jct US-50 at the Theodore Roosevelt Memorial Bridge (MM 74.77),63.00000000,2.10000000,2.60000000,2.20000000,open,1,0.0,425198292,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-66_66.05-58.05,segment,W,I-66,I,from I-66 Junction Interstate 495 Exit 64-Merrifield (MM 66.05) to Junction US 50 East Exit 57A-Fairfax (MM 58.05),60.00000000,8.00000000,8.00000000,8.00000000,open,1,0.0,425198305,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
