scenario,source_row,o_tpb_taz,d_tpb_taz,o_activity,d_activity,departure_time_min,travel_mode,vehicle_occupancy,person_weight,vehicle_weight_unscaled,vehicle_weight
real,88452,3570,3435,16,7,1145,4,2,181.00000000,90.50000000,4.14170129
real,88453,3435,3580,7,1,1190,4,2,181.00000000,90.50000000,4.14170129
real,88454,3640,3638,1,13,970,4,1,122.00000000,122.00000000,5.58328793
real,88455,3638,3640,13,1,1045,4,1,122.00000000,122.00000000,5.58328793
real,88479,3652,3633,1,10,715,4,1,109.00000000,109.00000000,4.98834741
real,88480,3633,3634,10,5,785,4,1,109.00000000,109.00000000,4.98834741
real,88481,3634,3652,5,1,795,4,1,109.00000000,109.00000000,4.98834741
real,88491,2788,2789,16,1,1000,4,2,52.00000000,26.00000000,1.18988103
real,88493,2788,2789,16,1,365,4,1,52.00000000,52.00000000,2.37976207
real,88494,2789,2789,1,2,530,4,1,52.00000000,52.00000000,2.37976207
real,88495,2789,2789,2,1,900,4,1,52.00000000,52.00000000,2.37976207
real,88496,2789,2788,1,16,980,4,1,52.00000000,52.00000000,2.37976207
real,88498,2698,2703,1,16,900,4,2,328.00000000,164.00000000,7.50540344
real,88499,2703,2698,16,1,905,4,2,328.00000000,164.00000000,7.50540344
real,88500,2698,2652,1,5,535,4,1,328.00000000,328.00000000,15.01080689
real,88501,2652,2539,5,5,560,4,1,328.00000000,328.00000000,15.01080689
real,88502,2539,2537,5,7,580,4,1,328.00000000,328.00000000,15.01080689
real,88503,2537,2630,7,2,650,4,1,328.00000000,328.00000000,15.01080689
real,88504,2630,2698,2,1,740,4,1,328.00000000,328.00000000,15.01080689
real,88505,2698,1501,1,14,1140,4,1,328.00000000,328.00000000,15.01080689
real,88506,1501,2698,14,1,1410,4,1,328.00000000,328.00000000,15.01080689
real,88511,1998,1439,1,2,390,4,1,69.00000000,69.00000000,3.15776121
real,88512,1439,1998,2,1,1025,4,1,69.00000000,69.00000000,3.15776121
real,88513,1998,1595,1,6,675,4,1,69.00000000,69.00000000,3.15776121
real,88514,1595,1994,6,18,685,4,1,69.00000000,69.00000000,3.15776121
real,88515,1994,1955,18,5,690,4,1,69.00000000,69.00000000,3.15776121
real,88516,1955,1998,5,1,715,4,1,69.00000000,69.00000000,3.15776121
real,88544,1828,1858,1,4,875,4,1,266.00000000,266.00000000,12.17339827
real,88545,1858,1858,4,5,930,4,1,266.00000000,266.00000000,12.17339827
real,88546,1858,1828,5,1,950,4,1,266.00000000,266.00000000,12.17339827
real,88547,1828,1831,1,3,1110,4,1,266.00000000,266.00000000,12.17339827
real,88548,1831,1828,3,1,1230,4,1,266.00000000,266.00000000,12.17339827
real,88549,1828,1858,1,4,455,4,3,266.00000000,88.66666667,4.05779942
real,88550,1858,1828,4,1,930,4,1,266.00000000,266.00000000,12.17339827
real,88553,1828,1689,1,2,570,4,1,266.00000000,266.00000000,12.17339827
real,88554,1689,1828,2,1,1050,4,1,266.00000000,266.00000000,12.17339827
real,88557,2072,2066,1,5,600,4,1,78.00000000,78.00000000,3.56964310
real,88558,2066,2062,5,7,630,4,1,78.00000000,78.00000000,3.56964310
real,88559,2062,2075,7,5,675,4,1,78.00000000,78.00000000,3.56964310
real,88560,2075,2044,5,5,720,4,1,78.00000000,78.00000000,3.56964310
real,88561,2044,2081,5,5,795,4,1,78.00000000,78.00000000,3.56964310
real,88562,2081,2075,5,5,840,4,1,78.00000000,78.00000000,3.56964310
real,88563,2075,2046,5,8,865,4,1,78.00000000,78.00000000,3.56964310
real,88564,2046,2072,8,1,875,4,1,78.00000000,78.00000000,3.56964310
real,88565,2072,2028,1,9,885,4,1,78.00000000,78.00000000,3.56964310
real,88566,2028,2072,9,1,945,4,1,78.00000000,78.00000000,3.56964310
real,88567,1544,1493,1,2,510,4,1,41.00000000,41.00000000,1.87635086
real,88568,1493,1544,2,1,1050,4,1,41.00000000,41.00000000,1.87635086
real,88569,1544,1901,1,5,1105,4,2,41.00000000,20.50000000,0.93817543
real,88570,1901,1544,5,1,1160,4,2,41.00000000,20.50000000,0.93817543
real,88581,1490,1496,1,2,480,4,2,52.00000000,26.00000000,1.18988103
real,88582,1496,1490,2,1,490,4,1,52.00000000,52.00000000,2.37976207
real,88583,1490,1478,1,10,625,4,1,52.00000000,52.00000000,2.37976207
real,88584,1478,1415,10,10,645,4,1,52.00000000,52.00000000,2.37976207
real,88585,1415,1458,10,10,660,4,1,52.00000000,52.00000000,2.37976207
real,88586,1458,1906,10,18,730,4,1,52.00000000,52.00000000,2.37976207
real,88587,1906,1532,18,6,755,4,1,52.00000000,52.00000000,2.37976207
real,88588,1532,1490,6,1,765,4,1,52.00000000,52.00000000,2.37976207
real,88606,2195,2195,1,16,430,4,3,124.00000000,41.33333333,1.89160575
real,88607,2195,2195,16,1,440,4,1,124.00000000,124.00000000,5.67481724
real,88608,2195,1748,1,6,565,4,1,124.00000000,124.00000000,5.67481724
real,88609,1748,1746,6,2,595,4,1,124.00000000,124.00000000,5.67481724
real,88610,1746,1746,2,13,1050,4,1,124.00000000,124.00000000,5.67481724
