screenline_id,method,absolute_error_delta_vs_direct
24005403201__24005403300,direct_survey,0.0
24005403201__24005403402,direct_survey,0.0
24005403201__24510280101,direct_survey,0.0
24005403202__24510280102,direct_survey,0.0
24005403300__24005403401,direct_survey,0.0
24005403300__24005403402,direct_survey,0.0
24005403300__24005403702,direct_survey,0.0
24005403401__24005403402,direct_survey,0.0
24005403401__24005403702,direct_survey,0.0
24005403402__24005403500,direct_survey,0.0
24005403402__24005403701,direct_survey,0.0
24005403402__24005403803,direct_survey,0.0
24005403402__24510272007,direct_survey,0.0
24005403402__24510280101,direct_survey,0.0
24005403500__24005403601,direct_survey,0.0
24005403500__24005403803,direct_survey,0.0
24005403500__24510272004,direct_survey,0.0
24005403500__24510272005,direct_survey,0.0
24005403601__24005403602,direct_survey,0.0
24005403601__24005403803,direct_survey,0.0
24005403601__24005490400,direct_survey,0.0
24005403601__24510272003,direct_survey,0.0
24005403602__24005490400,direct_survey,0.0
24005403602__24005490500,direct_survey,0.0
24005403602__24510271501,direct_survey,0.0
24005403701__24005403702,direct_survey,0.0
24005403701__24005403801,direct_survey,0.0
24005403701__24005403802,direct_survey,0.0
24005403701__24005404202,direct_survey,0.0
24005403701__24005404900,direct_survey,0.0
24005403702__24005404101,direct_survey,0.0
24005403702__24005404102,direct_survey,0.0
24005403702__24005404202,direct_survey,0.0
24005403801__24005403802,direct_survey,0.0
24005403801__24005408302,direct_survey,0.0
24005403801__24005408303,direct_survey,0.0
24005403801__24005408704,direct_survey,0.0
24005403801__24005490400,direct_survey,0.0
24005403802__24005403803,direct_survey,0.0
24005403802__24005490400,direct_survey,0.0
24005403803__24005490400,direct_survey,0.0
24005404101__24005404102,direct_survey,0.0
24005404101__24005404403,direct_survey,0.0
24005404101__24005404800,direct_survey,0.0
24005404101__24005492402,direct_survey,0.0
24005404102__24005404201,direct_survey,0.0
24005404102__24005404202,direct_survey,0.0
24005404102__24005404403,direct_survey,0.0
24005404201__24005404202,direct_survey,0.0
24005404201__24005404501,direct_survey,0.0
24005404201__24005404502,direct_survey,0.0
24005404202__24005404900,direct_survey,0.0
24005404402__24005404404,direct_survey,0.0
24005404402__24005404600,direct_survey,0.0
24005404402__24005404900,direct_survey,0.0
24005404403__24005404404,direct_survey,0.0
24005404403__24005404501,direct_survey,0.0
24005404403__24005404502,direct_survey,0.0
24005404404__24005404501,direct_survey,0.0
24005404404__24005404600,direct_survey,0.0
24005404404__24005404800,direct_survey,0.0
24005404501__24005404502,direct_survey,0.0
24005404600__24005404800,direct_survey,0.0
24005404600__24005404900,direct_survey,0.0
24005404600__24005405000,direct_survey,0.0
24005404600__24013504100,direct_survey,0.0
24005404800__24013504201,direct_survey,0.0
24005404900__24005408303,direct_survey,0.0
24005405000__24005406000,direct_survey,0.0
24005405000__24005407001,direct_survey,0.0
24005405000__24005408200,direct_survey,0.0
24005405000__24013508101,direct_survey,0.0
24005405000__24013508102,direct_survey,0.0
24005406000__24005407001,direct_survey,0.0
24005406000__24005407002,direct_survey,0.0
24005407001__24005407002,direct_survey,0.0
24005407001__24005408100,direct_survey,0.0
24005407001__24005410100,direct_survey,0.0
24005407002__24025304102,direct_survey,0.0
24005408100__24005408200,direct_survey,0.0
24005408100__24005408400,direct_survey,0.0
