scenario,activity_pair,vehicle_trips,share
real,3 -> 2,125.66974304,0.000661627540807991
real,7 -> 8,124.34256802,0.0006546402141574949
real,7 -> 11,123.14505954,0.0006483355574314368
real,8 -> 6,121.92848249,0.0006419305082738306
real,7 -> 18,118.94865558,0.0006262422805206375
real,7 -> 7,118.15056117,0.0006220404636867093
real,9 -> 10,117.86686934000001,0.0006205468796044178
real,11 -> 7,117.01259578,0.0006160492901210033
real,18 -> 11,116.09730268,0.0006112304442459166
real,10 -> 9,114.29722623,0.000601753380586283
real,18 -> 18,114.19044205,0.0006011911819798283
real,8 -> 7,113.26752146999999,0.0005963321788583519
real,8 -> 16,113.22175684,0.000596091236696218
real,18 -> 6,110.72758313,0.0005829598816207963
real,6 -> 10,109.97246633,0.0005789843338133357
real,5 -> 3,107.52405725,0.0005660939209000481
real,3 -> 7,101.30006417,0.0005333257689494578
real,11 -> 12,99.21777234999999,0.0005223628944915011
real,11 -> 2,98.85165511,0.0005204353561414664
real,9 -> 9,98.70520821000001,0.0005196643407803934
real,9 -> 8,96.1057758,0.0005059788184635579
real,18 -> 16,94.91589478,0.0004997143188785932
real,14 -> 7,93.82004618,0.0004939448822840973
real,18 -> 8,92.29205455,0.0004859002939840296
real,4 -> 16,87.63931461,0.0004614044940400328
real,10 -> 12,84.16120081,0.0004430928796094067
real,5 -> 14,84.11543617,0.0004428519373946245
real,13 -> 10,83.71118169,0.00044072361365501224
real,11 -> 8,82.41989418,0.0004339252279891369
real,4 -> 6,82.09035017000001,0.00043219024081044184
real,13 -> 8,79.2415004,0.0004171915830439772
real,7 -> 4,78.89826546,0.00041538451569603734
real,13 -> 16,78.07831537999999,0.00041106763287370953
real,6 -> 8,76.79309133,0.0004043011701833376
real,3 -> 16,75.6032103,0.0003980366705457248
real,15 -> 5,71.75897928,0.00037779751787036023
real,16 -> 3,69.00928623,0.00036332090156925695
real,8 -> 18,68.26866156,0.0003594216520982219
real,8 -> 13,68.18933616999999,0.0003590040188522254
real,11 -> 11,67.82321893,0.0003570764805021907
real,16 -> 14,66.2595932,0.00034884428537344987
real,18 -> 9,65.30616288,0.00034382465421408173
