scenario,source_row,o_tpb_taz,d_tpb_taz,o_activity,d_activity,departure_time_min,travel_mode,vehicle_occupancy,person_weight,vehicle_weight_unscaled,vehicle_weight
real,7574,3091,3081,13,7,1130,4,1,77.10101228,77.10101228,3.63493030
real,7575,3081,3089,2,17,900,5,2,118.61807619,59.30903810,2.79612697
real,7576,3081,3094,7,2,510,4,1,118.61807619,118.61807619,5.59225394
real,7577,3094,3081,2,7,840,4,1,118.61807619,118.61807619,5.59225394
real,7578,3081,3089,7,16,900,4,2,118.61807619,59.30903810,2.79612697
real,7579,3089,3094,16,2,920,4,1,118.61807619,118.61807619,5.59225394
real,7580,3094,3082,2,5,1080,4,1,118.61807619,118.61807619,5.59225394
real,7581,3082,3081,5,1,1150,4,1,118.61807619,118.61807619,5.59225394
real,7582,3081,3094,7,2,580,4,1,118.61807619,118.61807619,5.59225394
real,7583,3094,3081,2,7,1200,4,1,118.61807619,118.61807619,5.59225394
real,7584,2961,3013,1,2,465,4,1,153.80537679,153.80537679,7.25116063
real,7585,3013,2961,2,8,1035,4,1,153.80537679,153.80537679,7.25116063
real,7586,2961,2961,8,1,1065,4,1,153.80537679,153.80537679,7.25116063
real,7587,2961,2962,1,16,440,4,2,153.80537679,76.90268840,3.62558031
real,7588,2962,719,16,2,446,4,1,153.80537679,153.80537679,7.25116063
real,7589,719,2961,2,1,1010,4,1,153.80537679,153.80537679,7.25116063
real,7590,2952,2982,2,16,600,4,2,49.83573638,24.91786819,1.17475389
real,7591,2982,2952,16,1,645,4,1,49.83573638,49.83573638,2.34950778
real,7592,2952,2982,1,16,790,4,1,49.83573638,49.83573638,2.34950778
real,7593,2982,2952,16,1,814,4,2,49.83573638,24.91786819,1.17475389
real,7594,2952,3287,1,2,510,4,1,49.83573638,49.83573638,2.34950778
real,7595,3287,3287,2,6,980,4,1,49.83573638,49.83573638,2.34950778
real,7596,3287,2952,6,1,1005,4,1,49.83573638,49.83573638,2.34950778
real,7597,2952,2982,1,4,600,5,2,49.83573638,24.91786819,1.17475389
