link_id,volume
osm_100401066_2_rev,153
osm_100401066_3_fwd,106
osm_100401066_3_rev,153
osm_1004011268_1_fwd,45
osm_1004011268_1_rev,17
osm_1004215744_1_fwd,70
osm_1004215744_1_rev,106
osm_1004215744_2_fwd,70
osm_1004215744_2_rev,106
osm_1004215744_3_fwd,70
osm_1004215744_3_rev,106
osm_1004215744_4_fwd,70
osm_1004215744_4_rev,106
osm_1004215744_5_fwd,70
osm_1004215744_5_rev,106
osm_1004215744_6_fwd,70
osm_1004215744_6_rev,106
osm_1005293840_1_fwd,63
osm_1005293840_1_rev,72
osm_1005293840_2_fwd,63
osm_1005293840_2_rev,72
osm_1005293840_3_fwd,63
osm_1005293840_3_rev,72
osm_1005293840_4_fwd,63
osm_1005293840_4_rev,72
osm_100553922_10_fwd,396
osm_100553922_10_rev,426
osm_100553922_11_fwd,396
osm_100553922_11_rev,426
osm_100553922_12_fwd,396
osm_100553922_12_rev,426
osm_100553922_13_fwd,396
osm_100553922_13_rev,426
osm_100553922_14_fwd,396
osm_100553922_14_rev,426
osm_100553922_15_fwd,396
osm_100553922_15_rev,426
osm_100553922_16_fwd,396
osm_100553922_16_rev,426
osm_100553922_17_fwd,396
osm_100553922_17_rev,426
osm_100553922_18_fwd,396
osm_100553922_18_rev,426
osm_100553922_1_fwd,396
osm_100553922_1_rev,426
osm_100553922_2_fwd,396
osm_100553922_2_rev,426
osm_100553922_3_fwd,396
osm_100553922_3_rev,426
osm_100553922_4_fwd,396
osm_100553922_4_rev,426
osm_100553922_5_fwd,396
osm_100553922_5_rev,426
osm_100553922_6_fwd,396
osm_100553922_6_rev,426
osm_100553922_7_fwd,396
osm_100553922_7_rev,426
osm_100553922_8_fwd,396
osm_100553922_8_rev,426
osm_100553922_9_fwd,396
osm_100553922_9_rev,426
osm_100553923_1_fwd,396
osm_100553923_1_rev,426
osm_100553924_10_fwd,575
osm_100553924_10_rev,560
osm_100553924_11_fwd,575
osm_100553924_11_rev,560
osm_100553924_12_fwd,575
osm_100553924_12_rev,560
osm_100553924_13_fwd,575
osm_100553924_13_rev,560
osm_100553924_14_fwd,575
osm_100553924_14_rev,560
osm_100553924_15_fwd,575
osm_100553924_15_rev,560
osm_100553924_16_fwd,575
osm_100553924_16_rev,560
osm_100553924_17_fwd,575
osm_100553924_17_rev,560
osm_100553924_18_fwd,575
osm_100553924_18_rev,560
osm_100553924_19_fwd,575
osm_100553924_19_rev,560
osm_100553924_1_fwd,575
osm_100553924_1_rev,560
osm_100553924_20_fwd,575
osm_100553924_20_rev,560
osm_100553924_21_fwd,575
osm_100553924_21_rev,560
osm_100553924_22_fwd,575
osm_100553924_22_rev,560
osm_100553924_23_fwd,575
osm_100553924_23_rev,560
osm_100553924_24_fwd,575
osm_100553924_24_rev,560
osm_100553924_25_fwd,575
osm_100553924_25_rev,560
osm_100553924_26_fwd,575
osm_100553924_26_rev,560
osm_100553924_2_fwd,575
osm_100553924_2_rev,560
osm_100553924_3_fwd,575
osm_100553924_3_rev,560
osm_100553924_4_fwd,575
osm_100553924_4_rev,560
osm_100553924_5_fwd,575
osm_100553924_5_rev,560
osm_100553924_6_fwd,575
osm_100553924_6_rev,560
osm_100553924_7_fwd,575
osm_100553924_7_rev,560
osm_100553924_8_fwd,575
osm_100553924_8_rev,560
osm_100553924_9_fwd,575
osm_100553924_9_rev,560
osm_100553925_1_fwd,575
osm_100553925_1_rev,560
osm_1005690325_1_fwd,529
osm_1005690325_1_rev,480
osm_1005690325_2_fwd,529
osm_1005690325_2_rev,480
osm_1006738562_1_fwd,24
osm_1006738562_1_rev,23
osm_1006738562_2_fwd,24
osm_1006738562_2_rev,23
osm_1007359306_10_fwd,268
osm_1007359306_10_rev,293
osm_1007359306_11_fwd,268
osm_1007359306_11_rev,293
osm_1007359306_12_fwd,268
osm_1007359306_12_rev,293
osm_1007359306_13_fwd,268
osm_1007359306_13_rev,293
osm_1007359306_14_fwd,268
osm_1007359306_14_rev,293
osm_1007359306_15_fwd,268
osm_1007359306_15_rev,293
osm_1007359306_16_fwd,268
osm_1007359306_16_rev,293
osm_1007359306_17_fwd,268
osm_1007359306_17_rev,293
osm_1007359306_18_fwd,268
osm_1007359306_18_rev,293
osm_1007359306_19_fwd,268
osm_1007359306_19_rev,293
osm_1007359306_1_fwd,268
osm_1007359306_1_rev,293
osm_1007359306_20_fwd,268
osm_1007359306_20_rev,293
osm_1007359306_21_fwd,268
