example_id,o_tract_fips,d_tract_fips,path_order,first_raw_position,path_occurrences,screenline_id,tract_a,tract_b,screenline_color,shared_boundary_m,is_validation_candidate,is_in_cached_validation_path,mapped_mdot_station_ids,mapped_fhwa_station_ids
14,24005490701,24005410100,9,9,1,24005408502__24005408506,24005408502,24005408506,#bcbd22,3524.714604005052,True,True,B030115;S2009030141;S2011030939,
14,24005490701,24005410100,10,10,1,24005408502__24005410100,24005408502,24005410100,#17becf,4884.838872885522,False,False,,
15,24033802301,11001007709,1,1,1,24033802301__24033802404,24033802301,24033802404,#1f77b4,1674.7560543040115,True,True,S2012161248;S2012161249,
15,24033802301,11001007709,2,3,1,24033802407__24033802408,24033802407,24033802408,#ff7f0e,1123.2966909997006,True,True,S2012161164;S2012161170,
15,24033802301,11001007709,3,5,1,24033802501__24033802502,24033802501,24033802502,#2ca02c,823.215109259595,True,True,S2012161015;S2012161183,
15,24033802301,11001007709,4,6,1,11001009902__24033802502,11001009902,24033802502,#d62728,556.4819818977957,True,True,S2012161169,
15,24033802301,11001007709,5,7,1,11001009901__11001009902,11001009901,11001009902,#9467bd,1963.5464847208766,False,False,,
15,24033802301,11001007709,6,8,1,11001007709__11001009901,11001007709,11001009901,#8c564b,1405.743603457285,False,False,,
16,51510200107,24031702102,1,1,1,51013102901__51510200107,51013102901,51510200107,#1f77b4,1427.9861118157073,False,False,,
16,51510200107,24031702102,2,2,1,51013102802__51013102901,51013102802,51013102901,#ff7f0e,1165.7422271025048,False,False,,
16,51510200107,24031702102,3,3,1,51013102702__51013102802,51013102702,51013102802,#2ca02c,892.194571861632,False,False,,
16,51510200107,24031702102,4,4,1,51013102600__51013102702,51013102600,51013102702,#d62728,861.9118822550239,False,False,,
16,51510200107,24031702102,5,5,1,51013102600__51013103200,51013102600,51013103200,#9467bd,748.3904896794133,False,False,,
16,51510200107,24031702102,6,6,1,51013102500__51013103200,51013102500,51013103200,#8c564b,1314.2862984058618,False,False,,
16,51510200107,24031702102,7,7,1,51013102400__51013102500,51013102400,51013102500,#e377c2,1198.7133997950605,False,False,,
16,51510200107,24031702102,8,8,1,51013101803__51013102400,51013101803,51013102400,#7f7f7f,983.4071429053942,False,False,,
16,51510200107,24031702102,9,9,1,51013101803__51013103401,51013101803,51013103401,#bcbd22,860.6509907205299,False,False,,
16,51510200107,24031702102,10,10,1,51013101703__51013103401,51013101703,51013103401,#17becf,813.9750128884007,False,False,,
16,51510200107,24031702102,11,11,1,51013101702__51013101703,51013101702,51013101703,#aec7e8,635.6083700719657,False,False,,
16,51510200107,24031702102,12,12,1,51013101603__51013101702,51013101603,51013101702,#ffbb78,1121.1988960634876,False,False,,
16,51510200107,24031702102,13,13,1,51013101603__51013980100,51013101603,51013980100,#98df8a,782.7994849752049,False,False,,
16,51510200107,24031702102,14,14,1,51013101601__51013980100,51013101601,51013980100,#ff9896,324.8744596245147,False,False,,
16,51510200107,24031702102,15,15,1,11001000202__51013101601,11001000202,51013101601,#c5b0d5,801.6385797227368,False,False,,
16,51510200107,24031702102,16,16,1,11001000100__11001000202,11001000100,11001000202,#c49c94,2394.7681192626815,False,False,,
16,51510200107,24031702102,17,17,1,11001000100__11001000400,11001000100,11001000400,#f7b6d2,967.0107158997539,False,False,,
16,51510200107,24031702102,18,18,1,11001000400__11001000502,11001000400,11001000502,#c7c7c7,1386.7768067215134,False,False,,
16,51510200107,24031702102,19,19,1,11001000501__11001000502,11001000501,11001000502,#dbdb8d,1402.3681184181964,False,False,,
16,51510200107,24031702102,20,20,1,11001000501__11001001302,11001000501,11001001302,#9edae5,756.9823464321977,False,False,,
16,51510200107,24031702102,21,21,1,11001001302__11001002600,11001001302,11001002600,#393b79,1618.0420691746351,False,False,,
16,51510200107,24031702102,22,22,1,11001001301__11001002600,11001001301,11001002600,#6b6ecf,2812.315309328122,False,False,,
16,51510200107,24031702102,23,23,1,11001001301__11001002001,11001001301,11001002001,#637939,157.40664619392433,False,False,,
16,51510200107,24031702102,24,24,1,11001001803__11001002001,11001001803,11001002001,#b5cf6b,947.4376346776298,False,False,,
16,51510200107,24031702102,25,25,1,11001001803__11001001804,11001001803,11001001804,#8c6d31,1135.36805541861,False,False,,
16,51510200107,24031702102,26,26,1,11001001804__11001010300,11001001804,11001010300,#e7ba52,828.0174897409303,False,False,,
16,51510200107,24031702102,27,27,1,11001001600__11001010300,11001001600,11001010300,#843c39,2038.3629433714375,True,True,B150055,
16,51510200107,24031702102,28,28,1,11001001600__24031702500,11001001600,24031702500,#d6616b,552.7527423571343,True,True,B150055,
16,51510200107,24031702102,29,29,1,24031702402__24031702500,24031702402,24031702500,#7b4173,1489.4671468407425,True,True,B2896;B2962;S2012150761;S2012150763;S2012150981,
16,51510200107,24031702102,30,30,1,24031702401__24031702402,24031702401,24031702402,#ce6dbd,2783.1424033303233,True,True,B2857;B2886,
16,51510200107,24031702102,31,31,1,24031702401__24031702900,24031702401,24031702900,#5254a3,1055.007472689915,True,True,S2012150761,
16,51510200107,24031702102,32,32,1,24031702302__24031702900,24031702302,24031702900,#9c9ede,2857.9750015956283,True,True,B150078,
16,51510200107,24031702102,33,33,1,24031702200__24031702302,24031702200,24031702302,#8ca252,2516.90901442963,True,True,B2903;B2923;B2947;S2000150178;S2000150180;S2012150760,
16,51510200107,24031702102,34,34,1,24031702200__24031703000,24031702200,24031703000,#cedb9c,1030.399026724495,True,True,B2902;S2000150178;S2000150179;S2000150185;S2000150186;S2000150188;S2000150189;S2013150136,
16,51510200107,24031702102,35,35,1,24031702102__24031703000,24031702102,24031703000,#bd9e39,917.6069188659261,True,True,B2834;S2000150185;S2000150186;S2013150136,
17,24017850901,24033801207,1,1,1,24017850802__24017850901,24017850802,24017850901,#1f77b4,2898.189046735878,True,True,B080084,
17,24017850901,24033801207,2,2,1,24017850802__24033801003,24017850802,24033801003,#ff7f0e,2429.366633413589,False,False,,
17,24017850901,24033801207,3,3,1,24017850709__24033801003,24017850709,24033801003,#2ca02c,3991.1963988115676,True,True,B080088;B080108;B3123,
17,24017850901,24033801207,4,5,1,24033801004__24033801207,24033801004,24033801207,#d62728,3935.4756773155345,False,False,,
18,11001001401,24033807407,1,1,1,11001001401__11001001500,11001001401,11001001500,#1f77b4,1274.4893024082305,True,True,B2800;S2012150916,
18,11001001401,24033807407,2,2,1,11001001500__11001001600,11001001500,11001001600,#ff7f0e,2957.5926168783967,False,False,,
18,11001001401,24033807407,3,3,1,11001001600__24031702601,11001001600,24031702601,#2ca02c,675.6075891632998,True,True,B2878,
18,11001001401,24033807407,4,4,1,24031702500__24031702601,24031702500,24031702601,#d62728,1198.2556040295992,True,True,B150049,
18,11001001401,24033807407,5,5,1,24031702500__24031702900,24031702500,24031702900,#9467bd,1022.8774387465795,True,True,S2012150756;S2012150757;S2012150758;S2012150761,
18,11001001401,24033807407,6,6,1,24031702302__24031702900,24031702302,24031702900,#8c564b,2857.9750015956283,True,True,B150078,
18,11001001401,24033807407,7,7,1,24031702200__24031702302,24031702200,24031702302,#e377c2,2516.90901442963,True,True,B2903;B2923;B2947;S2000150178;S2000150180;S2012150760,
