example_id,o_tract_fips,d_tract_fips,path_order,screenline_id,screenline_color,station_id,is_fhwa_station,boundary_distance_m,boundary_centroid_distance_ratio,station_x,station_y
34,24510220100,24027602900,2,24510210100__24510210200,#ff7f0e,S2012241335,False,0.6955107629718645,0.0018755225227741759,432020.8592081189,178444.4320193941
34,24510220100,24027602900,2,24510210100__24510210200,#ff7f0e,S2012241341,False,50.89706046512858,0.09626674420142005,431882.3287107787,178347.95748656467
34,24510220100,24027602900,3,24510190200__24510210200,#2ca02c,S2012241404,False,1.7932710853057938,0.009301897339255506,431236.8692280028,179715.5674216921
34,24510220100,24027602900,4,24510190200__24510190300,#d62728,S2012241402,False,46.3935405288099,0.21220410641467638,430926.2439018122,179519.43606341167
34,24510220100,24027602900,5,24510190300__24510200300,#9467bd,B240167,False,72.17570351309487,0.13071999870253093,430508.2535292457,179065.44275803884
34,24510220100,24027602900,6,24510200300__24510200500,#8c564b,B240034,False,14.639624697020313,0.04515365975826533,430286.81418289675,179285.58186250555
34,24510220100,24027602900,6,24510200300__24510200500,#8c564b,B240167,False,69.3922626077795,0.1238468287901233,430508.2535292457,179065.44275803884
34,24510220100,24027602900,6,24510200300__24510200500,#8c564b,S2012241363,False,28.51905853218651,0.07400849518159285,430331.374186124,179218.4878518912
34,24510220100,24027602900,6,24510200300__24510200500,#8c564b,S2012241414,False,0.8183685390371714,0.0027241693973591168,430255.1636390141,179318.71089997096
34,24510220100,24027602900,6,24510200300__24510200500,#8c564b,S2013240313,False,46.341683567929124,0.3156282793527734,430262.113666679,179486.694969406
34,24510220100,24027602900,7,24510200400__24510200500,#e377c2,B240209,False,40.593900996064804,0.09904929782768286,430095.7028861503,179699.27207860412
34,24510220100,24027602900,7,24510200400__24510200500,#e377c2,B240210,False,0.434858653251113,0.0010613848662576377,430101.0289840436,179745.67231097457
34,24510220100,24027602900,7,24510200400__24510200500,#e377c2,S2009240009,False,7.021942527335862,0.019343737166394773,429563.90568324516,179430.5928576744
34,24510220100,24027602900,9,24510200600__24510200702,#bcbd22,S2012241395,False,19.196738155356165,0.03972868235906457,428267.7154315912,179272.86500522943
34,24510220100,24027602900,9,24510200600__24510200702,#bcbd22,S2012241421,False,26.431445601081457,0.09356026828030406,428244.4357257376,179785.07367123288
34,24510220100,24027602900,10,24510200702__24510200800,#17becf,S2012241388,False,72.00368874681064,0.24241261523503171,427692.14243946405,179639.16755224
34,24510220100,24027602900,10,24510200702__24510200800,#17becf,S2012241395,False,1.467255853763481,0.003036564924827247,428267.7154315912,179272.86500522943
34,24510220100,24027602900,11,24510280403__24510280404,#aec7e8,BC015,False,14.718578126339048,0.018649693534789076,426042.23255540326,180566.88947533516
34,24510220100,24027602900,11,24510280403__24510280404,#aec7e8,S2006240053,False,0.4371488218600804,0.0005878124536658674,426068.9203787267,180529.28645710775
34,24510220100,24027602900,11,24510280403__24510280404,#aec7e8,S2011241014,False,1.2688401052150737,0.001872312740531934,426492.71821793827,179331.19128703634
34,24510220100,24027602900,11,24510280403__24510280404,#aec7e8,S2012241433,False,79.36085424971216,0.09186766678212184,426033.9154789879,180660.1545033034
34,24510220100,24027602900,12,24005400600__24005400701,#ffbb78,S1999030137,False,8.536365226882273,0.017280684527722922,423552.04175393167,179154.5756908036
34,24510220100,24027602900,12,24005400600__24005400701,#ffbb78,S1999030140,False,99.56876924121043,0.18542660924279708,423402.3774851283,179140.13916918653
34,24510220100,24027602900,12,24005400600__24005400701,#ffbb78,S2011030463,False,8.567186219631273,0.017565982526108657,423562.17012571375,179160.43902986692
34,24510220100,24027602900,12,24005400600__24005400701,#ffbb78,S2011031018,False,96.61225645305495,0.21484215296152076,424475.76127988624,179438.24660014996
34,24510220100,24027602900,13,24005400701__24005400702,#98df8a,S2011031018,False,0.3924280368018089,0.0006762143879286865,424475.76127988624,179438.24660014996
34,24510220100,24027602900,14,24005400800__24005400900,#ff9896,S2011030985,False,76.24495021014961,0.0974213905068555,422121.73646258854,179574.01891767868
34,24510220100,24027602900,15,24005400900__24005401503,#c5b0d5,B030016,False,104.12124809547115,0.11741371035298805,420916.6963987763,178432.8415860687
34,24510220100,24027602900,15,24005400900__24005401503,#c5b0d5,B030090,False,241.26864769485695,0.23961026590552298,420981.6917553719,178194.6407965817
34,24510220100,24027602900,15,24005400900__24005401503,#c5b0d5,S2011030989,False,146.42548765920372,0.240799417569732,421016.8996640935,179057.97769794546
35,24033807102,11001002302,1,24033806400__24033807102,#1f77b4,B3103,False,7.035530619020784,0.006016032848556382,405297.5681139375,144240.165395335
35,24033807102,11001002302,2,24033806400__24033806501,#ff7f0e,B3103,False,155.31417473812675,0.15067528073056577,405297.5681139375,144240.165395335
35,24033807102,11001002302,2,24033806400__24033806501,#ff7f0e,B3265,False,174.11414323055158,0.17306694039953888,404800.84262136737,144238.5015868551
