column_a,column_b,kind_a,kind_b,real_unique_pairs,synthetic_unique_pairs,cross_marginal_overlap,total_variation_distance
race_ethnicity_hispanic,disability,categorical,categorical,4,4,0.97277268,0.02722732
race_ethnicity_hispanic,school_type,categorical,categorical,20,20,0.97277490,0.02722510
hov_used,j1_benefits_parking,categorical,categorical,6,6,0.97283438,0.02716562
school_type,td_shop_time,categorical,numeric,39,36,0.97286359,0.02713641
disability,school_type,categorical,categorical,20,20,0.97287467,0.02712533
toll_road_used,school_type,categorical,categorical,20,19,0.97292048,0.02707952
hov_used,school_type,categorical,categorical,20,19,0.97296347,0.02703653
numdisabilities,j1_workplace_loc,numeric,categorical,21,15,0.97301890,0.02698110
subway_access_mode,subway_egress_mode,categorical,categorical,24,27,0.97302088,0.02697912
license,j1_benefits_ev_charging,categorical,categorical,6,6,0.97304098,0.02695902
subway_pay,subway_egress_mode,categorical,categorical,42,27,0.97315844,0.02684156
race_ethnicity_hispanic,j1_benefits_carpool,categorical,categorical,6,6,0.97324090,0.02675910
food_delivered,td_shop_time,categorical,numeric,17,12,0.97328536,0.02671464
race_ethnicity_hispanic,jobs_count,categorical,numeric,11,10,0.97334827,0.02665173
subway_used,subway_egress_mode,categorical,categorical,9,11,0.97336722,0.02663278
tdate_dow,race_ethnicity_hispanic,categorical,categorical,10,10,0.97339726,0.02660274
hov_used,service_delivered,categorical,categorical,4,4,0.97347961,0.02652039
tolltransponder,race_ethnicity_hispanic,categorical,categorical,6,6,0.97359679,0.02640321
subway_pay,subway_access_mode,categorical,categorical,42,26,0.97363643,0.02636357
numdisabilities,food_delivered,numeric,categorical,8,6,0.97367125,0.02632875
subway_egress_mode,hov_used,categorical,categorical,10,8,0.97371697,0.02628303
tolltransponder,j1_telecommute,categorical,categorical,9,9,0.97376397,0.02623603
subway_used,subway_pay,categorical,categorical,13,12,0.97397013,0.02602987
hov_used,volunteer_status,categorical,categorical,4,4,0.97397675,0.02602325
subway_used,subway_access_mode,categorical,categorical,10,12,0.97401657,0.02598343
j1_telecommute,j1_telecommute_days,categorical,numeric,8,13,0.97403423,0.02596577
park_pay,tolltransponder,categorical,categorical,6,6,0.97436647,0.02563353
hov_used,j1_telecommute_days,categorical,numeric,12,12,0.97446951,0.02553049
numdisabilities,td_shop_time,numeric,numeric,23,15,0.97454859,0.02545141
food_delivered,j1_benefits_none,categorical,categorical,6,6,0.97461008,0.02538992
food_delivered,j1_benefits_walking_biking,categorical,categorical,6,6,0.97462976,0.02537024
subway_pay,hov_used,categorical,categorical,16,8,0.97465705,0.02534295
subway_access_mode,hov_used,categorical,categorical,10,7,0.97466394,0.02533606
license,volunteer_status,categorical,categorical,4,4,0.97468891,0.02531109
hov_used,j1_benefits_ev_charging,categorical,categorical,6,6,0.97478144,0.02521856
subway_used,hov_used,categorical,categorical,4,4,0.97491995,0.02508005
food_delivered,race_ethnicity_hispanic,categorical,categorical,4,4,0.97502868,0.02497132
tolltransponder,j1_benefits_none,categorical,categorical,9,9,0.97505772,0.02494228
license,j1_workplace_loc,categorical,categorical,10,10,0.97521483,0.02478517
food_delivered,school_mode,categorical,categorical,22,22,0.97522561,0.02477439
toll_road_used,tolltransponder,categorical,categorical,6,6,0.97526026,0.02473974
park_pay,tdate_dow,categorical,categorical,10,10,0.97548861,0.02451139
license,disability,categorical,categorical,4,4,0.97550320,0.02449680
tolltransponder,license,categorical,categorical,6,6,0.97550801,0.02449199
park_pay,j1_telecommute,categorical,categorical,6,6,0.97570244,0.02429756
hov_used,smartphone,categorical,categorical,4,4,0.97578400,0.02421600
park_pay,disability,categorical,categorical,4,4,0.97591821,0.02408179
j1_benefits_walking_biking,td_shop_time,categorical,numeric,20,15,0.97600106,0.02399894
numdisabilities,school_mode,numeric,categorical,30,28,0.97609101,0.02390899
toll_road_used,tdate_dow,categorical,categorical,10,10,0.97613339,0.02386661
subway_pay,j1_benefits_none,categorical,categorical,28,17,0.97613799,0.02386201
toll_road_used,j1_telecommute,categorical,categorical,6,6,0.97615637,0.02384363
service_delivered,license,categorical,categorical,4,4,0.97617652,0.02382348
park_pay,jobs_count,categorical,numeric,12,10,0.97622132,0.02377868
numdisabilities,j1_benefits_walking_biking,numeric,categorical,13,10,0.97623784,0.02376216
park_pay,j1_benefits_carpool,categorical,categorical,6,6,0.97624168,0.02375832
subway_egress_mode,license,categorical,categorical,12,11,0.97632077,0.02367923
subway_egress_mode,j1_benefits_none,categorical,categorical,18,18,0.97637346,0.02362654
toll_road_used,disability,categorical,categorical,4,4,0.97644968,0.02355032
subway_egress_mode,tolltransponder,categorical,categorical,17,16,0.97652030,0.02347970
toll_road_used,jobs_count,categorical,numeric,11,10,0.97656587,0.02343413
race_ethnicity_hispanic,td_shop_time,categorical,numeric,14,11,0.97663452,0.02336548
race_ethnicity_hispanic,j1_workplace_loc,categorical,categorical,10,10,0.97679661,0.02320339
toll_road_used,j1_benefits_carpool,categorical,categorical,6,6,0.97680915,0.02319085
subway_access_mode,j1_benefits_none,categorical,categorical,18,18,0.97683255,0.02316745
j1_benefits_walking_biking,school_mode,categorical,categorical,31,28,0.97685749,0.02314251
numdisabilities,race_ethnicity_hispanic,numeric,categorical,8,7,0.97697360,0.02302640
numdisabilities,license,numeric,categorical,10,7,0.97715517,0.02284483
subway_access_mode,license,categorical,categorical,12,12,0.97728652,0.02271348
food_delivered,license,categorical,categorical,4,4,0.97731945,0.02268055
park_pay,j1_benefits_none,categorical,categorical,6,6,0.97732398,0.02267602
subway_pay,license,categorical,categorical,20,12,0.97744021,0.02255979
subway_access_mode,tolltransponder,categorical,categorical,17,16,0.97745825,0.02254175
subway_pay,tolltransponder,categorical,categorical,28,16,0.97746039,0.02253961
race_ethnicity_hispanic,j1_benefits_none,categorical,categorical,6,6,0.97752948,0.02247052
license,j1_benefits_carpool,categorical,categorical,6,6,0.97766309,0.02233691
subway_used,j1_benefits_none,categorical,categorical,6,6,0.97767185,0.02232815
subway_used,tolltransponder,categorical,categorical,6,6,0.97773230,0.02226770
subway_used,license,categorical,categorical,4,4,0.97773230,0.02226770
hov_used,j1_telecommute,categorical,categorical,6,6,0.97797045,0.02202955
hov_used,tdate_dow,categorical,categorical,10,10,0.97802946,0.02197054
park_pay,food_delivered,categorical,categorical,4,4,0.97805184,0.02194816
